checked_pc_max,statement_pc_max,project-id
0.25, 0.25, Cli-1 
0.5, 0.5, Cli-2 
1.0, 1.0, Cli-3 
0.6666666666666666, 0.5, Cli-4 
1.0, 1.0, Cli-5 
1.0, 1.0, Cli-7 
0.5, 0.4, Cli-9 
1.0, 1.0, Cli-12 
0.2, 0.14285714285714285, Cli-13 
0.0625, 0.030303030303030307, Cli-14 
1.0, 1.0, Cli-15 
1.0, 0.3333333333333333, Cli-16 
1.0, 1.0, Cli-17 
1.0, 1.0, Cli-18 
0.07142857142857142, 0.07142857142857142, Cli-19 
1.0, 1.0, Cli-20 
0.3333333333333333, 0.125, Cli-21 
0.022727272727272728, 0.03389830508474576, Cli-22 
1.0, 0.5, Cli-26 
1.0, 1.0, Cli-28 
1.0, 0.3333333333333333, Cli-29 
0.5, 0.3043478260869565, Cli-30 
1.0, 1.0, Cli-32 
1.0, 0.2222222222222222, Cli-34 
0.2, 0.05882352941176471, Cli-36 
1.0, 0.5, Cli-37 
1.0, 0.3333333333333333, Cli-38 
1.0, 1.0, Cli-39 
0.5, 0.5, Codec-3 
1.0, 1.0, Codec-5 
0.5, 0.25, Codec-6 
1.0, 1.0, Codec-7 
1.0, 1.0, Codec-11 
1.0, 1.0, Codec-12 
1.0, 1.0, Codec-13 
1.0, 0.5, Codec-14 
0.09090909090909093, 0.047619047619047616, Codec-15 
0.5, 0.5, Codec-17 
1.0, 1.0, Codec-18 
1.0, 1.0, Collections-25 
1.0, 1.0, Compress-2 
1.0, 1.0, Compress-3 
1.0, 1.0, Compress-5 
1.0, 1.0, Compress-6 
1.0, 1.0, Compress-9 
0.5, 0.08333333333333333, Compress-10 
1.0, 0.5, Compress-11 
1.0, 1.0, Compress-12 
0.5, 0.0625, Compress-13 
0.1, 0.05, Compress-14 
0.5, 0.3333333333333333, Compress-15 
0.3333333333333333, 0.125, Compress-16 
1.0, 0.5, Compress-18 
1.0, 0.5, Compress-19 
0.2, 0.07142857142857142, Compress-20 
0.5, 0.5, Compress-22 
1.0, 0.2, Compress-24 
1.0, 1.0, Compress-25 
1.0, 0.2, Compress-27 
1.0, 1.0, Compress-28 
1.0, 1.0, Compress-31 
1.0, 1.0, Compress-32 
1.0, 1.0, Compress-33 
0.5, 0.5, Compress-34 
1.0, 1.0, Compress-36 
1.0, 1.0, Compress-37 
0.25, 0.07142857142857142, Compress-38 
1.0, 0.5, Compress-39 
1.0, 1.0, Compress-40 
1.0, 1.0, Compress-41 
1.0, 1.0, Compress-44 
1.0, 1.0, Compress-46 
0.03333333333333333, 0.030303030303030307, Csv-1 
1.0, 1.0, Csv-2 
0.5, 0.21428571428571427, Csv-3 
1.0, 0.5, Csv-4 
1.0, 1.0, Csv-7 
1.0, 1.0, Csv-8 
1.0, 1.0, Csv-9 
0.06666666666666668, 0.047619047619047616, Csv-12 
0.5, 0.06666666666666668, Csv-13 
0.0049261083743842365, 0.001451378809869376, Gson-2 
0.14285714285714285, 0.1111111111111111, Gson-4 
0.5, 0.4, Gson-6 
1.0, 1.0, Gson-7 
1.0, 1.0, Gson-8 
0.007692307692307694, 0.0038167938931297713, Gson-10 
0.5, 0.3333333333333333, Gson-12 
0.3333333333333333, 0.06666666666666668, Gson-13 
1.0, 1.0, Gson-17 
0.5, 0.3333333333333333, JacksonCore-3 
0.3333333333333333, 0.3333333333333333, JacksonCore-5 
1.0, 1.0, JacksonCore-6 
1.0, 1.0, JacksonCore-8 
1.0, 1.0, JacksonCore-10 
1.0, 1.0, JacksonCore-12 
1.0, 1.0, JacksonCore-14 
0.5, 0.25, JacksonCore-15 
1.0, 1.0, JacksonCore-16 
1.0, 1.0, JacksonCore-18 
1.0, 1.0, JacksonCore-20 
1.0, 1.0, JacksonCore-21 
1.0, 1.0, JacksonCore-22 
1.0, 1.0, JacksonCore-23 
1.0, 1.0, JacksonCore-24 
1.0, 1.0, JacksonCore-25 
1.0, 0.02631578947368421, JacksonCore-26 
1.0, 1.0, JacksonDatabind-1 
1.0, 1.0, JacksonDatabind-2 
1.0, 0.3333333333333333, JacksonDatabind-3 
1.0, 1.0, JacksonDatabind-4 
0.5, 0.125, JacksonDatabind-5 
1.0, 0.6666666666666666, JacksonDatabind-6 
1.0, 1.0, JacksonDatabind-7 
1.0, 1.0, JacksonDatabind-8 
1.0, 1.0, JacksonDatabind-9 
1.0, 1.0, JacksonDatabind-10 
0.03448275862068965, 0.03333333333333333, JacksonDatabind-12 
0.045454545454545456, 0.04, JacksonDatabind-13 
1.0, 1.0, JacksonDatabind-14 
1.0, 1.0, JacksonDatabind-15 
0.5, 0.05555555555555555, JacksonDatabind-16 
1.0, 0.0625, JacksonDatabind-17 
1.0, 1.0, JacksonDatabind-18 
1.0, 1.0, JacksonDatabind-19 
0.08333333333333333, 0.08333333333333333, JacksonDatabind-20 
1.0, 1.0, JacksonDatabind-21 
0.0078125, 0.0006934812760055479, JacksonDatabind-23 
0.14285714285714285, 0.14285714285714285, JacksonDatabind-25 
1.0, 1.0, JacksonDatabind-26 
0.5, 0.5, JacksonDatabind-27 
0.05263157894736842, 0.047619047619047616, JacksonDatabind-33 
0.5, 0.5, JacksonDatabind-35 
1.0, 1.0, JacksonDatabind-36 
1.0, 1.0, JacksonDatabind-38 
0.25, 0.3333333333333333, JacksonDatabind-39 
1.0, 1.0, JacksonDatabind-41 
0.01818181818181818, 0.015151515151515154, JacksonDatabind-42 
0.014285714285714284, 0.01282051282051282, JacksonDatabind-44 
0.5, 0.5, JacksonDatabind-45 
1.0, 1.0, JacksonDatabind-47 
0.5, 0.09090909090909093, JacksonDatabind-49 
0.020408163265306117, 0.010869565217391304, JacksonDatabind-51 
1.0, 0.5, JacksonDatabind-53 
0.125, 0.07692307692307693, JacksonDatabind-55 
0.5, 0.5, JacksonDatabind-56 
0.5, 0.5, JacksonDatabind-57 
1.0, 1.0, JacksonDatabind-62 
1.0, 1.0, JacksonXml-3 
0.010204081632653059, 0.008, Jsoup-1 
0.00980392156862745, 0.00909090909090909, Jsoup-2 
0.075, 0.07317073170731707, Jsoup-3 
1.0, 0.06666666666666668, Jsoup-4 
1.0, 1.0, Jsoup-5 
0.16666666666666666, 0.1176470588235294, Jsoup-6 
0.006711409395973154, 0.005555555555555557, Jsoup-7 
0.25, 0.16666666666666666, Jsoup-8 
0.14285714285714285, 0.05555555555555555, Jsoup-9 
0.125, 0.1111111111111111, Jsoup-10 
1.0, 1.0, Jsoup-11 
0.5, 0.5, Jsoup-12 
1.0, 1.0, Jsoup-13 
0.05882352941176471, 0.05555555555555555, Jsoup-14 
1.0, 1.0, Jsoup-15 
1.0, 0.13333333333333333, Jsoup-16 
0.011764705882352941, 0.0051813471502590676, Jsoup-17 
1.0, 1.0, Jsoup-18 
1.0, 1.0, Jsoup-20 
0.3333333333333333, 0.3333333333333333, Jsoup-21 
1.0, 1.0, Jsoup-22 
0.0047393364928909965, 0.0038759689922480615, Jsoup-23 
0.006578947368421052, 0.003703703703703704, Jsoup-25 
1.0, 0.05, Jsoup-26 
1.0, 1.0, Jsoup-27 
1.0, 0.5, Jsoup-28 
1.0, 1.0, Jsoup-29 
1.0, 1.0, Jsoup-30 
1.0, 1.0, Jsoup-31 
1.0, 0.16666666666666666, Jsoup-32 
0.5, 0.5, Jsoup-33 
0.5, 0.5, Jsoup-34 
0.00411522633744856, 0.003389830508474576, Jsoup-35 
1.0, 1.0, Jsoup-36 
0.007936507936507936, 0.007751937984496123, Jsoup-37 
0.00398406374501992, 0.0033444816053511705, Jsoup-38 
1.0, 0.5, Jsoup-39 
0.2, 0.14285714285714285, Jsoup-41 
1.0, 1.0, Jsoup-42 
0.5, 0.5, Jsoup-43 
0.003389830508474576, 0.00308641975308642, Jsoup-44 
0.14285714285714285, 0.08333333333333333, Jsoup-45 
1.0, 1.0, Jsoup-50 
0.005050505050505051, 0.0027548209366391185, Jsoup-51 
1.0, 1.0, Jsoup-52 
0.007246376811594203, 0.002493765586034913, Jsoup-55 
1.0, 0.5, Jsoup-58 
0.005235602094240838, 0.005012531328320803, Jsoup-59 
0.0045045045045045045, 0.0027027027027027033, Jsoup-62 
1.0, 0.5, Jsoup-63 
1.0, 0.2857142857142857, Jsoup-72 
0.5, 0.25, Jsoup-73 
0.015151515151515154, 0.011363636363636364, Jsoup-83 
1.0, 0.3333333333333333, Jsoup-89 
1.0, 1.0, Jsoup-93 
0.5, 0.5, Lang-1 
0.3333333333333333, 0.3333333333333333, Lang-3 
0.5, 0.06666666666666668, Lang-4 
1.0, 1.0, Lang-5 
0.03125, 0.028571428571428567, Lang-6 
1.0, 1.0, Lang-7 
1.0, 1.0, Lang-11 
1.0, 1.0, Lang-12 
0.2, 0.16666666666666666, Lang-13 
1.0, 1.0, Lang-14 
1.0, 1.0, Lang-15 
1.0, 1.0, Lang-16 
0.03571428571428571, 0.03225806451612903, Lang-17 
1.0, 1.0, Lang-18 
0.5, 0.08333333333333333, Lang-19 
1.0, 1.0, Lang-20 
1.0, 1.0, Lang-21 
1.0, 1.0, Lang-23 
1.0, 1.0, Lang-24 
1.0, 0.047619047619047616, Lang-25 
0.3333333333333333, 0.03225806451612903, Lang-26 
1.0, 1.0, Lang-27 
0.03571428571428571, 0.03225806451612903, Lang-28 
1.0, 1.0, Lang-29 
1.0, 1.0, Lang-30 
1.0, 1.0, Lang-31 
0.25, 0.125, Lang-32 
1.0, 1.0, Lang-33 
1.0, 1.0, Lang-35 
1.0, 1.0, Lang-36 
1.0, 1.0, Lang-37 
0.5, 0.5, Lang-38 
1.0, 1.0, Lang-39 
0.5, 0.5, Lang-40 
1.0, 1.0, Lang-41 
0.5, 0.5, Lang-44 
1.0, 1.0, Lang-45 
0.3333333333333333, 0.25, Lang-46 
0.025, 0.02, Lang-47 
1.0, 1.0, Lang-48 
1.0, 1.0, Lang-49 
1.0, 1.0, Lang-50 
1.0, 1.0, Lang-51 
1.0, 1.0, Lang-52 
0.3333333333333333, 0.3333333333333333, Lang-53 
0.5, 0.5, Lang-55 
0.14285714285714285, 0.09090909090909093, Lang-56 
1.0, 1.0, Lang-57 
0.016393442622950817, 0.0125, Lang-59 
0.5, 0.5, Lang-60 
1.0, 0.5, Lang-61 
1.0, 1.0, Lang-63 
0.3333333333333333, 0.3333333333333333, Lang-64 
0.5, 0.5, Lang-65 
1.0, 1.0, Math-20 
1.0, 1.0, Math-21 
0.2, 0.2, Math-23 
0.16666666666666666, 0.16666666666666666, Math-24 
0.5, 0.5, Math-27 
0.3333333333333333, 0.25, Math-28 
0.5, 0.5, Math-30 
0.0625, 0.02, Math-31 
1.0, 1.0, Math-32 
0.2, 0.2, Math-33 
1.0, 0.5, Math-34 
0.6666666666666666, 0.6666666666666666, Math-35 
1.0, 1.0, Math-36 
1.0, 1.0, Math-37 
1.0, 0.5, Math-40 
0.0625, 0.0625, Math-42 
1.0, 1.0, Math-43 
0.5, 0.5, Math-46 
0.5, 0.5, Math-47 
1.0, 1.0, Math-48 
1.0, 0.14285714285714285, Math-50 
1.0, 1.0, Math-51 
1.0, 0.5, Math-52 
0.3333333333333333, 0.3333333333333333, Math-53 
1.0, 0.5, Math-55 
1.0, 1.0, Math-56 
0.3333333333333333, 0.3333333333333333, Math-57 
1.0, 1.0, Math-60 
1.0, 1.0, Math-61 
1.0, 0.5, Math-62 
1.0, 1.0, Math-63 
1.0, 1.0, Math-65 
1.0, 0.6666666666666666, Math-66 
1.0, 1.0, Math-67 
1.0, 1.0, Math-69 
1.0, 1.0, Math-70 
1.0, 1.0, Math-72 
1.0, 1.0, Math-73 
1.0, 1.0, Math-75 
0.6666666666666666, 0.6666666666666666, Math-76 
1.0, 1.0, Math-77 
0.3333333333333333, 0.3333333333333333, Math-79 
1.0, 1.0, Math-80 
0.5, 0.5, Math-81 
0.1111111111111111, 0.1111111111111111, Math-82 
0.25, 0.25, Math-83 
1.0, 0.5, Math-84 
1.0, 0.25, Math-85 
1.0, 1.0, Math-86 
0.5, 0.5, Math-87 
0.125, 0.125, Math-88 
1.0, 1.0, Math-89 
1.0, 1.0, Math-90 
1.0, 1.0, Math-91 
1.0, 1.0, Math-92 
1.0, 1.0, Math-93 
1.0, 1.0, Math-94 
0.5, 0.25, Math-95 
0.05263157894736842, 0.05, Math-96 
1.0, 1.0, Math-97 
1.0, 0.3333333333333333, Math-98 
1.0, 1.0, Math-99 
0.07692307692307693, 0.0625, Math-100 
1.0, 1.0, Math-102 
1.0, 1.0, Math-103 
0.125, 0.1111111111111111, Math-105 
1.0, 1.0, Math-106 
