checked_pc_max,statement_pc_max,project-id
0.5, 0.5, Lang-1 
0.3333333333333333, 0.3333333333333333, Lang-3 
0.5, 0.06666666666666668, Lang-4 
1.0, 1.0, Lang-5 
0.03125, 0.028571428571428567, Lang-6 
1.0, 1.0, Lang-7 
1.0, 1.0, Lang-11 
1.0, 1.0, Lang-12 
0.2, 0.16666666666666666, Lang-13 
1.0, 1.0, Lang-14 
1.0, 1.0, Lang-15 
1.0, 1.0, Lang-16 
0.03571428571428571, 0.03225806451612903, Lang-17 
1.0, 1.0, Lang-18 
0.5, 0.08333333333333333, Lang-19 
1.0, 1.0, Lang-20 
1.0, 1.0, Lang-21 
1.0, 1.0, Lang-23 
1.0, 1.0, Lang-24 
1.0, 0.047619047619047616, Lang-25 
0.3333333333333333, 0.03225806451612903, Lang-26 
1.0, 1.0, Lang-27 
0.03571428571428571, 0.03225806451612903, Lang-28 
1.0, 1.0, Lang-29 
1.0, 1.0, Lang-30 
1.0, 1.0, Lang-31 
0.25, 0.125, Lang-32 
1.0, 1.0, Lang-33 
1.0, 1.0, Lang-35 
1.0, 1.0, Lang-36 
1.0, 1.0, Lang-37 
0.5, 0.5, Lang-38 
1.0, 1.0, Lang-39 
0.5, 0.5, Lang-40 
1.0, 1.0, Lang-41 
0.5, 0.5, Lang-44 
1.0, 1.0, Lang-45 
0.3333333333333333, 0.25, Lang-46 
0.025, 0.02, Lang-47 
1.0, 1.0, Lang-48 
1.0, 1.0, Lang-49 
1.0, 1.0, Lang-50 
1.0, 1.0, Lang-51 
1.0, 1.0, Lang-52 
0.3333333333333333, 0.3333333333333333, Lang-53 
0.5, 0.5, Lang-55 
0.14285714285714285, 0.09090909090909093, Lang-56 
1.0, 1.0, Lang-57 
0.016393442622950817, 0.0125, Lang-59 
0.5, 0.5, Lang-60 
1.0, 0.5, Lang-61 
1.0, 1.0, Lang-63 
0.3333333333333333, 0.3333333333333333, Lang-64 
0.5, 0.5, Lang-65 
