checked_pc_max,statement_pc_max,project-id
1.0, 1.0, Math-20 
1.0, 1.0, Math-21 
0.2, 0.2, Math-23 
0.16666666666666666, 0.16666666666666666, Math-24 
0.5, 0.5, Math-27 
0.3333333333333333, 0.25, Math-28 
0.5, 0.5, Math-30 
0.0625, 0.02, Math-31 
1.0, 1.0, Math-32 
0.2, 0.2, Math-33 
1.0, 0.5, Math-34 
0.6666666666666666, 0.6666666666666666, Math-35 
1.0, 1.0, Math-36 
1.0, 1.0, Math-37 
1.0, 0.5, Math-40 
0.0625, 0.0625, Math-42 
1.0, 1.0, Math-43 
0.5, 0.5, Math-46 
0.5, 0.5, Math-47 
1.0, 1.0, Math-48 
1.0, 0.14285714285714285, Math-50 
1.0, 1.0, Math-51 
1.0, 0.5, Math-52 
0.3333333333333333, 0.3333333333333333, Math-53 
1.0, 0.5, Math-55 
1.0, 1.0, Math-56 
0.3333333333333333, 0.3333333333333333, Math-57 
1.0, 1.0, Math-60 
1.0, 1.0, Math-61 
1.0, 0.5, Math-62 
1.0, 1.0, Math-63 
1.0, 1.0, Math-65 
1.0, 0.6666666666666666, Math-66 
1.0, 1.0, Math-67 
1.0, 1.0, Math-69 
1.0, 1.0, Math-70 
1.0, 1.0, Math-72 
1.0, 1.0, Math-73 
1.0, 1.0, Math-75 
0.6666666666666666, 0.6666666666666666, Math-76 
1.0, 1.0, Math-77 
0.3333333333333333, 0.3333333333333333, Math-79 
1.0, 1.0, Math-80 
0.5, 0.5, Math-81 
0.1111111111111111, 0.1111111111111111, Math-82 
0.25, 0.25, Math-83 
1.0, 0.5, Math-84 
1.0, 0.25, Math-85 
1.0, 1.0, Math-86 
0.5, 0.5, Math-87 
0.125, 0.125, Math-88 
1.0, 1.0, Math-89 
1.0, 1.0, Math-90 
1.0, 1.0, Math-91 
1.0, 1.0, Math-92 
1.0, 1.0, Math-93 
1.0, 1.0, Math-94 
0.5, 0.25, Math-95 
0.05263157894736842, 0.05, Math-96 
1.0, 1.0, Math-97 
1.0, 0.3333333333333333, Math-98 
1.0, 1.0, Math-99 
0.07692307692307693, 0.0625, Math-100 
1.0, 1.0, Math-102 
1.0, 1.0, Math-103 
0.125, 0.1111111111111111, Math-105 
1.0, 1.0, Math-106 
