mutant_id,pc_score,lengths
6,0.02,1/50
35,0.029411764705882353,1/34
38,0.0,0/2
41,0.0,0/18
43,0.0,0/39
65,0.029411764705882353,1/34
68,0.029411764705882353,1/34
9,0.0,0/32
10,0.0,0/32
13,0.0,0/32
24,0.0,0/17
1,0.0,0/10
8,0.0,0/12
26,0.0,0/12
28,0.0,0/13
33,0.125,1/8
37,0.0,0/12
39,0.125,1/8
46,0.0,0/10
73,0.0,0/12
74,0.07142857142857142,1/14
77,0.125,1/8
78,0.0,0/12
80,0.0,0/7
81,0.0,0/5
88,0.0,0/11
92,0.0,0/11
95,0.0,0/5
96,0.0,0/5
97,0.0,0/5
98,0.0,0/5
99,0.0,0/5
100,0.0,0/5
101,0.0,0/11
29,0.0,0/29
40,0.0,0/2
42,0.0,0/3
44,0.0,0/2
45,0.0,0/2
47,0.0,0/3
51,0.0,0/2
60,0.0,0/2
61,0.0,0/2
63,0.0,0/3
76,0.0,0/1
82,0.0,0/1
83,0.0,0/1
84,0.0,0/1
85,0.0,0/1
86,0.0,0/1
87,0.0,0/1
90,0.0,0/1
93,0.0,0/1
94,0.0,0/3
3,0.0,0/2
5,0.0,0/2
48,0.0,0/1
49,0.0,0/1
52,0.0,0/1
7,0.0,0/2
25,0.0,0/1
27,0.0,0/1
64,0.0,0/1
79,0.5,1/2
103,0.5,1/2
105,0.5,1/2
2,0.0,0/1
11,0.0,0/1
15,0.0,0/1
16,0.0,0/1
17,0.0,0/1
18,0.0,0/1
19,0.0,0/1
20,0.0,0/1
21,0.0,0/1
22,0.0,0/1
23,0.0,0/1
