mutant_id,pc_score,lengths
65,0.0,0/3
155,0.0,0/22
437,0.0,0/11
770,0.0,0/1
1020,0.0,0/1
231,0.0,0/23
215,0.0,0/23
476,0.0,0/33
643,0.0,0/32
1006,0.5,1/2
891,0.0,0/4
1001,0.0,0/1
695,0.0,0/4
676,0.0,0/4
198,0.0,0/27
416,0.0,0/4
617,0.0,0/33
434,0.0,0/11
423,0.0,0/23
791,0.0,0/1
99,0.0,0/21
302,0.0,0/1
509,0.02857142857142857,1/35
393,0.0,0/26
246,0.0,0/19
1074,0.0,0/7
708,0.0,0/2
483,0.0,0/37
352,0.0,0/15
504,0.0,0/32
533,0.0,0/9
719,0.013333333333333334,1/75
716,0.013333333333333334,1/75
487,0.0,0/34
299,0.013333333333333334,1/75
207,0.0,0/31
947,0.0,0/2
880,0.0,0/4
495,0.0,0/34
511,0.0,0/34
262,0.0,0/11
686,0.0,0/4
620,0.0,0/33
392,0.0,0/27
524,0.0,0/9
173,0.0,0/26
179,0.0,0/24
549,0.0,0/40
366,0.0,0/18
382,0.0,0/26
496,0.0,0/32
238,0.0,0/22
640,0.0,0/4
424,0.0,0/1
406,0.0,0/1
338,0.125,1/8
457,0.0,0/23
694,0.0,0/1
987,0.2,1/5
72,0.0,0/1
471,0.0,0/22
619,0.0,0/33
751,0.0,0/24
481,0.0,0/37
508,0.0,0/34
760,0.0,0/2
464,0.0,0/37
398,0.0,0/26
291,0.0,0/1
157,0.0,0/22
488,0.0,0/34
796,0.0,0/37
317,0.015873015873015872,1/63
462,0.0,0/37
222,0.0,0/22
482,0.0,0/37
1022,0.5,1/2
693,0.013157894736842105,1/76
530,0.0,0/9
321,0.0,0/1
1083,0.0,0/7
516,0.0,0/21
377,0.0,0/18
210,0.0,0/26
645,0.0,0/32
882,0.0,0/4
739,0.0,0/33
780,0.0,0/1
782,0.0,0/1
469,0.0,0/16
572,0.0,0/1
519,0.0,0/9
703,0.0,0/5
112,0.0,0/18
781,0.0,0/1
1078,0.0,0/2
442,0.0,0/37
952,0.0,0/2
203,0.0,0/21
290,0.0,0/1
