mutant_id,pc_score,lengths
56,0.0,0/3
57,0.0,0/3
58,0.0,0/3
59,0.0,0/3
72,0.0,0/5
73,0.0,0/5
74,0.0,0/5
76,0.0,0/8
77,0.0,0/5
78,0.0,0/8
49,0.0,0/6
79,0.0,0/1
80,0.0,0/1
82,0.0,0/1
83,0.0,0/1
60,0.0,0/1
62,0.0,0/2
63,0.0,0/2
64,0.0,0/2
65,0.0,0/2
54,0.0,0/1
30,0.0,0/1
31,0.0,0/1
37,0.125,1/8
40,0.125,1/8
26,0.0,0/2
27,0.0,0/2
23,0.0,0/1
20,0.0,0/1
51,0.0,0/1
52,0.0,0/3
53,0.0,0/3
32,0.25,1/4
33,0.25,1/4
89,0.0,0/2
90,0.0,0/2
92,0.0,0/1
93,0.0,0/2
94,0.0,0/2
95,0.0,0/2
96,0.0,0/2
97,0.0,0/2
98,0.0,0/2
99,0.0,0/3
48,0.0,0/2
38,0.0,0/1
3,1.0,1/1
84,0.0,0/1
85,0.0,0/1
87,0.0,0/1
