mutant_id,pc_score,lengths
77,0.0,0/1
67,0.25,1/4
88,0.0,0/1
98,0.0,0/2
151,0.0,0/1
148,0.0,0/1
53,0.0,0/1
18,0.0,0/3
91,0.25,1/4
112,0.3333333333333333,1/3
84,0.0,0/1
135,0.0,0/1
76,0.25,1/4
150,0.0,0/1
101,0.0,0/3
155,0.0,0/1
125,0.0,0/1
78,0.0,0/2
90,0.25,1/4
81,0.0,0/1
99,0.0,0/2
68,0.0,0/1
87,0.0,0/1
137,0.0,0/1
12,0.25,1/4
66,0.0,0/2
136,0.0,0/1
143,0.0,0/1
94,0.0,0/3
93,0.3333333333333333,1/3
120,0.0,0/1
1,0.0,0/1
131,0.0,0/1
146,0.0,0/1
100,0.25,1/4
64,0.25,1/4
158,0.0,0/1
79,0.0,0/2
119,0.0,0/1
121,0.0,0/1
132,0.0,0/1
70,0.25,1/4
7,0.25,1/4
54,0.0,0/1
13,0.25,1/4
134,0.0,0/1
52,0.0,0/1
60,0.0,0/1
80,0.0,0/1
128,0.0,0/1
108,0.0,0/1
126,0.0,0/1
50,0.0,0/1
107,0.3333333333333333,1/3
103,0.0,0/1
14,0.25,1/4
124,0.0,0/1
123,0.0,0/1
71,0.0,0/1
122,0.0,0/1
17,0.25,1/4
156,0.0,0/1
97,0.0,0/2
127,0.0,0/1
111,0.0,0/2
89,0.0,0/1
106,0.0,0/1
110,0.0,0/3
96,0.0,0/3
129,0.0,0/1
2,0.0,0/1
152,0.0,0/1
