mutant_id,pc_score,lengths
21,0.0,0/585
22,0.0,0/585
23,0.0,0/585
24,0.0,0/585
25,0.0,0/585
28,0.0,0/578
29,0.0,0/1
30,0.0,0/1
27,0.0,0/3
34,0.0,0/460
35,0.0,0/68
37,0.0,0/3
144,0.0,0/1
134,0.0,0/310
172,0.0,0/336
177,0.0,0/326
179,0.0,0/318
72,0.0,0/6
68,0.0,0/5
64,0.0,0/1
41,0.0,0/11
42,0.0,0/10
49,0.0,0/2
52,0.0,0/36
58,0.0,0/12
196,0.0,0/23
198,0.0,0/25
224,0.0,0/46
81,0.0,0/2
82,0.0,0/2
199,0.0,0/6
71,0.0,0/7
75,0.0,0/1
76,0.0,0/1
153,0.0,0/16
159,0.0,0/19
166,0.0,0/18
212,0.0,0/28
213,0.0,0/1
4,0.0,0/4
11,0.0,0/4
15,0.0,0/4
232,0.0,0/43
253,0.0,0/42
237,0.0,0/37
238,0.0,0/30
239,0.0,0/30
258,0.0,0/17
263,0.0,0/17
265,0.0,0/17
268,0.0,0/36
115,0.0,0/1
117,0.0,0/1
120,0.0,0/1
133,0.0,0/15
67,0.0,0/7
168,0.0,0/3
170,0.0,0/3
63,0.0,0/6
178,0.0,0/9
95,0.0,0/20
100,0.0,0/18
151,0.0,0/3
101,0.0,0/1
103,0.0,0/1
91,0.0,0/1
93,0.0,0/1
94,0.0,0/1
3,0.0,0/7
6,0.0,0/7
9,0.0,0/1
13,0.0,0/1
255,0.0,0/7
256,0.0,0/7
259,0.0,0/7
261,0.0,0/7
264,0.0,0/7
104,0.0,0/2
128,0.0,0/10
66,0.0,0/1
2,0.0,0/2
18,0.0,0/2
234,0.0,0/3
102,0.0,0/1
14,0.0,0/1
17,0.0,0/5
84,0.0,0/1
171,0.0,0/1
190,0.0,0/1
149,0.0,0/1
154,0.0,0/2
132,0.0,0/1
146,0.0,0/1
148,0.0,0/1
150,0.0,0/1
152,0.0,0/1
92,0.0,0/2
135,0.0,0/3
191,0.0,0/1
195,0.0,0/1
228,0.0,0/1
38,0.0,0/1
39,0.0,0/1
43,0.0,0/1
173,0.0,0/1
175,0.0,0/1
176,0.0,0/1
181,0.0,0/1
57,0.0,0/1
