mutant_id,pc_score,lengths
296,0.0,0/2
309,0.0,0/2
342,0.0,0/3
230,0.0,0/4
96,0.0,0/70
334,0.0,0/20
126,0.0,0/64
188,0.0,0/8
308,0.0,0/2
156,0.0,0/8
323,0.0,0/2
152,0.0,0/11
328,0.0,0/5
87,0.0,0/1
113,0.0,0/44
260,0.0,0/4
122,0.0,0/59
338,0.0,0/2
112,0.0,0/65
255,0.0,0/3
218,0.0,0/4
173,0.0,0/2
306,0.0,0/2
214,0.0,0/3
111,0.0,0/73
187,0.0,0/1
91,0.0,0/36
163,0.0,0/14
154,0.0,0/12
203,0.0,0/4
133,0.0,0/63
217,0.0,0/4
169,0.0,0/37
123,0.0,0/24
236,0.0,0/4
197,0.0,0/4
127,0.0,0/48
129,0.0,0/18
148,0.0,0/9
333,0.0,0/5
125,0.0,0/24
232,0.0,0/1
18,0.0,0/1
294,0.0,0/1
204,0.0,0/4
121,0.0,0/24
153,0.0,0/16
256,0.0,0/3
124,0.0,0/24
168,0.0,0/37
310,0.0,0/2
141,0.0,0/1
183,0.0,0/1
138,0.0,0/5
180,0.0,0/2
149,0.0,0/40
170,0.0,0/37
147,0.0,0/33
90,0.0,0/1
95,0.0,0/74
194,0.0,0/8
115,0.0,0/28
146,0.0,0/2
293,0.0,0/1
27,0.0,0/1
234,0.0,0/4
259,0.0,0/4
86,0.0,0/36
120,0.0,0/44
164,0.0,0/13
336,0.0,0/3
337,0.0,0/16
174,0.0,0/8
55,0.0,0/19
130,0.0,0/7
193,0.0,0/8
165,0.0,0/49
140,0.0,0/3
258,0.0,0/4
322,0.0,0/2
89,0.0,0/32
134,0.0,0/63
58,0.0,0/18
26,0.0,0/1
282,0.0,0/1
57,0.0,0/3
101,0.0,0/75
166,0.0,0/45
167,0.0,0/8
114,0.0,0/61
162,0.0,0/16
339,0.0,0/3
128,0.0,0/48
24,0.0,0/80
332,0.0,0/16
131,0.0,0/48
54,0.0,0/3
107,0.0,0/4
216,0.0,0/4
88,0.0,0/36
231,0.0,0/1
285,0.0,0/4
206,0.0,0/4
93,0.0,0/1
132,0.0,0/18
229,0.0,0/1
150,0.0,0/24
23,0.0,0/80
324,0.0,0/1
155,0.0,0/12
135,0.0,0/6
65,0.0,0/74
340,0.0,0/16
341,0.0,0/16
286,0.0,0/2
137,0.0,0/5
136,0.0,0/40
94,0.0,0/75
139,0.0,0/1
109,0.0,0/37
171,0.0,0/2
39,0.0,0/19
309,0.0,0/2
342,0.0,0/3
334,0.0,0/20
14,0.0,0/82
101,0.0,0/79
188,0.0,0/9
53,0.0,0/37
156,0.0,0/8
12,0.0,0/18
129,0.0,0/20
119,0.0,0/16
260,0.0,0/4
338,0.0,0/2
112,0.0,0/66
255,0.0,0/3
44,0.0,0/6
306,0.0,0/2
111,0.0,0/73
