mutant_id,pc_score,lengths
65,0.0,0/1
38,0.0,0/3
88,0.002570694087403599,1/389
92,0.05555555555555555,1/18
98,0.0,0/3
61,0.0,0/4
1,0.0,0/7
44,1.0,1/1
8,0.0,0/1
45,0.0,0/1
53,0.0,0/1
18,0.006097560975609756,1/164
12,0.0,0/37
19,0.0,0/4
54,0.0,0/4
28,0.0,0/1
46,0.0,0/8
100,0.0,0/3
76,0.0,0/10
15,0.006024096385542169,1/166
101,0.0,0/3
58,0.0,0/7
3,0.0,0/3
90,0.002570694087403599,1/389
59,0.0,0/160
47,0.0,0/8
26,0.0,0/37
68,0.0,0/1
87,0.002570694087403599,1/389
56,0.0,0/4
34,0.0,0/52
35,0.0,0/17
66,0.0,0/3
67,0.0,0/1
99,0.0,0/2
94,0.002570694087403599,1/389
89,0.002570694087403599,1/389
49,0.0,0/1
50,0.0,0/10
84,0.0,0/1
102,0.0,0/6
33,0.0,0/1
40,0.0,0/19
20,0.0,0/5
23,0.0,0/52
14,0.0,0/163
69,0.0,0/4
70,0.0,0/4
52,0.0,0/1
13,0.0,0/1
48,0.0,0/1
57,0.0,0/160
74,0.0,0/154
97,0.0,0/3
11,0.0,0/3
31,0.0,0/63
64,0.0,0/3
21,0.0,0/5
71,0.0,0/7
22,0.007692307692307693,1/130
17,0.006024096385542169,1/166
73,0.0,0/5
32,0.0,0/1
95,0.002570694087403599,1/389
63,0.0,0/4
41,0.0,0/13
55,0.0,0/1
96,0.05555555555555555,1/18
51,0.0,0/10
85,0.0,0/1
62,0.0,0/6
60,0.0,0/6
30,0.0,0/63
