mutant_id,pc_score,lengths
2,0.0196078431372549,1/51
5,0.0036231884057971015,1/276
8,0.0036231884057971015,1/276
9,0.0036231884057971015,1/276
10,0.003703703703703704,1/270
39,0.0036101083032490976,1/277
3,0.0,0/20
12,0.0,0/261
15,0.0,0/261
16,0.0,0/260
37,0.0,0/127
38,0.0,0/157
177,0.0034965034965034965,1/286
17,0.0,0/213
1,0.0,0/54
36,0.0,0/141
42,0.0,0/181
57,0.0,0/181
135,0.0,0/92
136,0.0,0/107
139,0.0,0/62
145,0.0,0/108
146,0.0,0/108
148,0.0,0/108
149,0.0,0/108
150,0.0,0/108
151,0.0,0/62
155,0.0,0/62
158,0.0,0/62
160,0.0,0/98
162,0.0,0/106
166,0.0,0/77
126,0.0,0/64
127,0.0,0/64
45,0.0,0/18
50,0.0,0/27
52,0.0,0/27
56,0.0,0/27
59,0.0,0/2
60,0.0,0/10
61,0.0,0/2
140,0.0,0/88
143,0.0,0/88
153,0.0,0/88
157,0.0,0/88
163,0.0,0/54
167,0.0,0/54
170,0.0,0/56
171,0.0,0/56
172,0.0,0/56
173,0.0,0/56
174,0.0,0/56
175,0.0,0/56
176,0.0,0/54
79,0.0,0/31
81,0.0,0/30
85,0.0,0/30
147,0.0,0/52
43,0.0,0/19
46,0.0,0/19
184,0.0,0/33
186,0.029411764705882353,1/34
187,0.029411764705882353,1/34
188,0.029411764705882353,1/34
191,0.029411764705882353,1/34
192,0.029411764705882353,1/34
193,0.029411764705882353,1/34
195,0.029411764705882353,1/34
211,0.029411764705882353,1/34
248,0.0,0/33
249,0.0,0/33
250,0.0,0/33
251,0.0,0/33
252,0.0,0/33
253,0.0,0/33
254,0.0,0/33
255,0.0,0/33
256,0.0,0/33
257,0.0,0/33
258,0.0,0/33
259,0.0,0/33
165,0.0,0/6
169,0.0,0/6
185,0.0,0/17
189,0.07692307692307693,1/13
190,0.0625,1/16
194,0.041666666666666664,1/24
212,0.041666666666666664,1/24
213,0.041666666666666664,1/24
214,0.041666666666666664,1/24
215,0.041666666666666664,1/24
216,0.041666666666666664,1/24
217,0.041666666666666664,1/24
218,0.041666666666666664,1/24
219,0.0,0/2
220,0.0,0/2
223,0.0,0/2
224,0.0,0/3
225,0.0,0/2
228,0.0,0/13
237,0.0,0/13
239,0.0,0/11
240,0.0,0/12
244,0.0,0/13
260,0.0,0/13
261,0.0,0/13
263,0.0,0/5
264,0.0,0/13
19,0.0,0/5
30,0.0,0/8
31,0.0,0/14
33,0.0,0/10
65,0.0,0/16
75,0.0,0/14
88,0.0,0/16
96,0.0,0/16
168,0.0,0/2
11,0.0,0/7
86,0.0,0/2
197,0.0,0/17
198,0.0,0/17
199,0.0,0/17
200,0.0,0/17
201,0.0,0/17
202,0.0,0/17
34,0.0,0/5
119,0.0,0/3
159,0.0,0/1
161,0.0,0/1
221,0.0,0/2
20,0.0,0/6
22,0.0,0/6
23,0.0,0/6
26,0.0,0/6
27,0.0,0/6
196,0.0,0/2
262,0.0,0/6
4,0.0,0/3
111,0.0,0/2
113,0.0,0/2
128,0.0,0/2
129,0.0,0/2
132,0.0,0/2
152,0.0,0/2
28,0.0,0/2
29,0.0,0/2
32,0.0,0/2
203,0.0,0/4
204,0.0,0/2
207,0.0,0/2
208,0.0,0/2
209,0.0,0/2
98,0.0,0/2
206,0.0,0/2
241,1.0,1/1
242,1.0,1/1
245,1.0,1/1
