mutant_id,pc_score,lengths
40,0.0,0/1
898,0.0,0/1
706,0.0,0/1
570,0.0,0/1
144,0.0,0/1
28,0.0,0/1
667,0.0,0/1
392,0.0,0/5
228,0.0,0/3
422,0.0,0/2
528,0.0,0/1
442,0.0,0/1
732,0.0,0/1
654,0.0,0/1
256,0.0,0/3
610,0.0,0/1
284,0.0,0/1
271,0.0,0/1
418,0.0,0/1
96,0.0,0/1
388,0.0,0/2
141,0.0,0/1
793,0.0,0/1
69,0.0,0/3
450,0.0,0/2
385,0.0,0/1
612,0.0,0/1
266,0.0,0/1
800,0.0,0/1
730,0.0,0/1
304,0.0,0/1
245,0.0,0/3
481,0.0,0/1
560,0.0,0/1
664,0.0,0/4
546,0.0,0/1
919,0.0,0/1
648,0.0,0/1
796,0.0,0/1
769,0.0,0/1
46,0.0,0/1
326,0.0,0/2
687,0.0,0/1
80,0.0,0/2
168,0.0,0/2
824,0.0,0/1
233,0.0,0/3
206,0.0,0/1
631,0.0,0/1
862,0.0,0/1
846,0.0,0/1
58,0.0,0/1
763,0.0,0/1
93,0.0,0/1
640,0.0,0/1
918,0.0,0/1
296,0.0,0/1
306,0.0,0/3
804,0.0,0/1
57,0.0,0/1
121,0.0,0/1
84,0.0,0/3
931,0.0,0/1
226,0.0,0/4
115,0.0,0/1
37,0.0,0/1
27,0.0,0/1
545,0.0,0/1
212,0.0,0/1
692,0.0,0/1
536,0.0,0/1
686,0.0,0/1
282,0.0,0/1
590,0.0,0/13
863,0.0,0/1
108,0.0,0/2
930,0.0,0/1
50,0.0,0/1
29,0.0,0/1
683,0.0,0/1
883,0.0,0/1
688,0.0,0/1
857,0.0,0/1
90,0.0,0/1
501,0.0,0/1
872,0.0,0/1
184,0.0,0/1
33,0.0,0/1
533,0.0,0/1
194,0.0,0/1
156,0.0,0/1
26,0.0,0/1
742,0.0,0/1
89,0.0,0/1
375,0.0,0/1
444,0.0,0/1
8,0.0,0/3
409,0.0,0/4
486,0.0,0/2
98,0.0,0/1
647,0.0,0/1
676,0.0,0/1
64,0.0,0/3
82,0.0,0/2
733,0.0,0/1
558,0.0,0/1
437,0.0,0/4
371,0.0,0/1
248,0.0,0/1
99,0.0,0/2
119,0.0,0/1
723,0.0,0/1
916,0.0,0/1
135,0.0,0/3
460,0.0,0/1
133,0.0,0/3
250,0.0,0/1
327,0.0,0/1
32,0.0,0/1
866,0.0,0/1
773,0.0,0/1
357,0.0,0/1
500,0.0,0/2
563,0.0,0/1
522,0.0,0/1
414,0.0,0/1
472,0.0,0/1
928,0.0,0/1
525,0.0,0/1
907,0.0,0/1
138,0.0,0/5
759,0.0,0/1
277,0.0,0/1
204,0.0,0/1
755,0.0,0/1
393,0.0,0/1
74,0.0,0/1
362,0.0,0/7
391,0.0,0/1
823,0.0,0/1
480,0.0,0/1
701,0.0,0/1
