mutant_id,pc_score,lengths
4,0.12727272727272726,28/220
9,0.16,28/175
2144,0.0,0/35
2145,0.024390243902439025,1/41
2163,0.0,0/56
2164,0.016129032258064516,1/62
2165,0.016129032258064516,1/62
2166,0.016129032258064516,1/62
2167,0.016129032258064516,1/62
2168,0.016129032258064516,1/62
2176,0.0,0/56
2178,0.016129032258064516,1/62
2179,0.016129032258064516,1/62
2180,0.0,0/48
2181,0.016129032258064516,1/62
2183,0.016129032258064516,1/62
2184,0.0,0/56
2185,0.0,0/56
2186,0.0,0/56
2188,0.016129032258064516,1/62
2190,0.016129032258064516,1/62
2193,0.0,0/57
2196,0.0,0/22
2197,0.0,0/1
2199,0.016129032258064516,1/62
2201,0.016129032258064516,1/62
2231,0.0,0/56
2236,0.0,0/56
2239,0.0,0/5
2240,0.016129032258064516,1/62
2242,0.016129032258064516,1/62
2243,0.0,0/56
2246,0.0,0/56
2251,0.0,0/10
2252,0.016129032258064516,1/62
2253,0.0,0/10
2255,0.016129032258064516,1/62
2260,0.0,0/56
2268,0.0,0/56
2269,0.0,0/56
2272,0.0,0/56
2275,0.016129032258064516,1/62
2277,0.016129032258064516,1/62
2280,0.016129032258064516,1/62
2282,0.016129032258064516,1/62
2283,0.01694915254237288,1/59
2286,0.016129032258064516,1/62
2287,0.0,0/45
2288,0.016129032258064516,1/62
2290,0.016666666666666666,1/60
2291,0.0,0/48
2292,0.0,0/48
2298,0.0,0/56
2300,0.021739130434782608,1/46
2301,0.0,0/53
2302,0.016129032258064516,1/62
2304,0.016666666666666666,1/60
2305,0.0,0/56
2306,0.0,0/56
2307,0.0,0/56
2308,0.0,0/56
2309,0.0,0/54
2310,0.0,0/56
2311,0.0,0/57
2312,0.0,0/56
2326,0.0,0/56
2327,0.0,0/56
2328,0.0,0/48
2329,0.0,0/56
2338,0.0,0/32
2341,0.0,0/58
2346,0.0,0/57
2347,0.0,0/58
2351,0.0,0/56
2356,0.0,0/58
2358,0.016129032258064516,1/62
2360,0.016129032258064516,1/62
2364,0.0,0/27
2365,0.0,0/6
2366,0.016129032258064516,1/62
2367,0.0,0/23
2369,0.016129032258064516,1/62
2374,0.0,0/38
2376,0.02702702702702703,1/37
2377,0.0,0/6
2378,0.016129032258064516,1/62
2380,0.016666666666666666,1/60
2381,0.0,0/38
2382,0.0,0/42
2384,0.0,0/38
2386,0.0,0/38
2387,0.0,0/58
2389,0.0,0/58
2394,0.0,0/51
2398,0.019230769230769232,1/52
2402,0.022727272727272728,1/44
2410,0.0,0/56
2413,0.0,0/56
2414,0.0,0/56
2415,0.0,0/38
2417,0.0,0/50
2426,0.0,0/56
2433,0.0,0/56
2434,0.0,0/56
2526,0.0,0/57
2535,0.016129032258064516,1/62
2537,0.016129032258064516,1/62
2549,0.016666666666666666,1/60
2608,0.016129032258064516,1/62
2620,0.016129032258064516,1/62
2624,0.022727272727272728,1/44
2629,0.016129032258064516,1/62
2634,0.016129032258064516,1/62
2636,0.016129032258064516,1/62
2637,0.0,0/51
2638,0.016129032258064516,1/62
2640,0.016666666666666666,1/60
2641,0.0,0/56
2642,0.0,0/56
2644,0.016129032258064516,1/62
2649,0.016129032258064516,1/62
2650,0.016129032258064516,1/62
2652,0.016129032258064516,1/62
2653,0.016129032258064516,1/62
2654,0.016129032258064516,1/62
2655,0.0,0/40
2656,0.016129032258064516,1/62
2658,0.0,0/40
2659,0.016129032258064516,1/62
2660,0.0,0/48
2661,0.0,0/48
2662,0.0,0/53
2663,0.0,0/52
2665,0.016129032258064516,1/62
2674,0.0,0/43
2676,0.02040816326530612,1/49
2678,0.016129032258064516,1/62
2680,0.016666666666666666,1/60
2688,0.017543859649122806,1/57
2695,0.0,0/39
2701,0.01818181818181818,1/55
2704,0.01694915254237288,1/59
2707,0.0,0/37
3229,0.0,0/56
3230,0.0,0/56
3231,0.016129032258064516,1/62
3233,0.016129032258064516,1/62
3234,0.0,0/35
3235,0.01639344262295082,1/61
3237,0.016129032258064516,1/62
3238,0.0,0/56
3241,0.03571428571428571,1/28
3243,0.016129032258064516,1/62
3245,0.016129032258064516,1/62
3246,0.0,0/56
3247,0.0,0/59
3248,0.01694915254237288,1/59
3251,0.0,0/54
3252,0.0,0/56
3253,0.0,0/57
3254,0.01639344262295082,1/61
3257,0.0,0/60
3261,0.016129032258064516,1/62
3262,0.0,0/56
3263,0.0,0/43
3264,0.0,0/50
3266,0.016129032258064516,1/62
3267,0.0,0/56
3268,0.0,0/59
3269,0.0,0/56
3270,0.0,0/56
3271,0.0,0/56
3272,0.0,0/56
3276,0.016129032258064516,1/62
3279,0.0,0/56
3280,0.016129032258064516,1/62
3281,0.0,0/56
3284,0.0,0/56
3294,0.0,0/56
3295,0.0,0/56
