mutant_id,pc_score,lengths
18,0.0045045045045045045,1/222
19,0.003125,1/320
23,0.003676470588235294,1/272
8,0.0012903225806451613,1/775
9,0.0012004801920768306,1/833
10,0.0012004801920768306,1/833
11,0.0011961722488038277,1/836
22,0.0024691358024691358,1/405
25,0.002053388090349076,1/487
26,0.002053388090349076,1/487
17,0.0027100271002710027,1/369
4,0.002145922746781116,1/466
1,0.002232142857142857,1/448
3,0.002242152466367713,1/446
6,0.0022371364653243847,1/447
13,0.043478260869565216,1/23
14,0.05,1/20
15,0.05,1/20
12,0.0,0/48
5,0.0022471910112359553,1/445
7,0.0,0/16
20,0.003875968992248062,1/258
16,0.0045871559633027525,1/218
21,0.00390625,1/256
24,0.00390625,1/256
2,0.0022471910112359553,1/445
