mutant_id,pc_score,lengths
1,0.0027472527472527475,1/364
17,0.0027100271002710027,1/369
18,0.0027472527472527475,1/364
24,0.002770083102493075,1/361
25,0.0027100271002710027,1/369
26,0.0027624309392265192,1/362
60,0.002976190476190476,1/336
64,0.003067484662576687,1/326
75,0.0028011204481792717,1/357
76,0.002793296089385475,1/358
90,0.0031545741324921135,1/317
91,0.0031545741324921135,1/317
92,0.0031545741324921135,1/317
93,0.003215434083601286,1/311
94,0.0031545741324921135,1/317
95,0.0031545741324921135,1/317
96,0.003215434083601286,1/311
97,0.0031545741324921135,1/317
98,0.0031545741324921135,1/317
99,0.003215434083601286,1/311
100,0.0031545741324921135,1/317
101,0.0031545741324921135,1/317
102,0.0031545741324921135,1/317
108,0.0031545741324921135,1/317
109,0.0031545741324921135,1/317
113,0.0031545741324921135,1/317
117,0.0031545741324921135,1/317
119,0.0031545741324921135,1/317
120,0.0031545741324921135,1/317
122,0.0031545741324921135,1/317
123,0.0031545741324921135,1/317
126,0.0031545741324921135,1/317
127,0.0031545741324921135,1/317
129,0.0031545741324921135,1/317
130,0.0031545741324921135,1/317
131,0.0031545741324921135,1/317
149,0.0031645569620253164,1/316
166,0.003134796238244514,1/319
169,0.003134796238244514,1/319
185,0.003134796238244514,1/319
191,0.003134796238244514,1/319
193,0.003134796238244514,1/319
194,0.003134796238244514,1/319
195,0.003134796238244514,1/319
196,0.0029585798816568047,1/338
198,0.002770083102493075,1/361
199,0.002770083102493075,1/361
204,0.0027624309392265192,1/362
214,0.0027624309392265192,1/362
217,0.002770083102493075,1/361
220,0.003134796238244514,1/319
227,0.003134796238244514,1/319
228,0.003134796238244514,1/319
239,0.0027624309392265192,1/362
241,0.0027624309392265192,1/362
1017,0.0036231884057971015,1/276
1023,0.0036231884057971015,1/276
1025,0.0036231884057971015,1/276
1295,0.0027624309392265192,1/362
1296,0.0027624309392265192,1/362
1298,0.0027624309392265192,1/362
1300,0.0027624309392265192,1/362
1301,0.0028653295128939827,1/349
1305,0.0027624309392265192,1/362
1308,0.0027624309392265192,1/362
11,0.0,0/67
12,0.0,0/67
13,0.0,0/67
22,0.0,0/76
40,0.012987012987012988,1/77
61,0.009900990099009901,1/101
62,0.010309278350515464,1/97
63,0.010309278350515464,1/97
121,0.009708737864077669,1/103
124,0.010526315789473684,1/95
128,0.01020408163265306,1/98
132,0.0,0/65
154,0.009523809523809525,1/105
189,0.009009009009009009,1/111
210,0.008547008547008548,1/117
216,0.008547008547008548,1/117
221,0.008547008547008548,1/117
222,0.008547008547008548,1/117
224,0.008547008547008548,1/117
229,0.008547008547008548,1/117
235,0.0,0/76
249,0.0,0/53
250,0.0,0/53
251,0.0,0/53
253,0.0,0/53
254,0.0,0/53
255,0.0,0/53
256,0.0,0/53
261,0.0,0/52
263,0.0,0/52
264,0.0,0/52
265,0.0,0/52
266,0.0,0/52
267,0.0,0/35
268,0.0,0/35
353,0.008695652173913044,1/115
528,0.0,0/54
533,0.0,0/67
535,0.0,0/38
538,0.0,0/73
555,0.0,0/31
558,0.0,0/64
561,0.0,0/64
563,0.0,0/47
567,0.0,0/47
568,0.0,0/47
569,0.0,0/50
570,0.0,0/65
579,0.0,0/58
587,0.0,0/66
588,0.0,0/67
594,0.0,0/67
595,0.0,0/70
596,0.0,0/55
598,0.0,0/70
605,0.0,0/67
608,0.0,0/67
613,0.0,0/67
616,0.0,0/67
621,0.0,0/67
673,0.0,0/64
677,0.0,0/67
680,0.0,0/67
683,0.0,0/67
684,0.0,0/67
736,0.0,0/70
737,0.0,0/67
746,0.0,0/64
747,0.0,0/64
748,0.0,0/64
749,0.0,0/64
752,0.0,0/64
755,0.0,0/64
758,0.0,0/61
761,0.0,0/61
764,0.0,0/61
767,0.0,0/61
830,0.0,0/67
833,0.0,0/65
838,0.0,0/65
841,0.0,0/65
851,0.0,0/62
855,0.0,0/62
858,0.0,0/65
860,0.0,0/62
871,0.0,0/62
872,0.0,0/65
874,0.0,0/65
876,0.0,0/65
900,0.0,0/62
989,0.0,0/29
990,0.0,0/22
992,0.0,0/41
1002,0.0,0/54
1003,0.0,0/54
1004,0.0,0/54
1006,0.0,0/54
1007,0.0,0/54
1008,0.0,0/54
1009,0.0,0/54
1164,0.0,0/65
1170,0.0,0/33
1175,0.0,0/70
1177,0.0,0/37
1180,0.0,0/32
1183,0.0,0/32
1188,0.0,0/32
1195,0.0,0/32
1202,0.0,0/20
1215,0.0,0/32
1219,0.0,0/20
1224,0.0,0/20
1228,0.0,0/52
1232,0.0,0/70
1233,0.006369426751592357,1/157
1243,0.0,0/74
1280,0.0,0/68
1281,0.0,0/73
1283,0.0,0/73
1284,0.0,0/68
1285,0.0,0/68
1287,0.0,0/61
1288,0.0,0/68
1291,0.0,0/68
1293,0.0,0/73
1294,0.0,0/68
1299,0.006369426751592357,1/157
1306,0.0,0/55
1312,0.0,0/73
10,0.029411764705882353,1/34
20,0.010869565217391304,1/92
65,0.010869565217391304,1/92
68,0.02127659574468085,1/47
125,0.024390243902439025,1/41
133,0.0,0/9
136,0.14285714285714285,1/7
137,0.0625,1/16
231,0.010869565217391304,1/92
246,0.05555555555555555,1/18
359,0.015384615384615385,1/65
366,0.016666666666666666,1/60
369,0.016666666666666666,1/60
372,0.015384615384615385,1/65
373,0.015384615384615385,1/65
380,0.041666666666666664,1/24
419,0.012345679012345678,1/81
423,0.0125,1/80
425,0.02631578947368421,1/38
426,0.07142857142857142,1/14
428,0.014084507042253521,1/71
429,0.06666666666666667,1/15
430,0.06666666666666667,1/15
431,0.06666666666666667,1/15
432,0.06666666666666667,1/15
433,0.06666666666666667,1/15
434,0.012195121951219513,1/82
441,0.013513513513513514,1/74
443,0.07142857142857142,1/14
445,0.014084507042253521,1/71
446,0.06666666666666667,1/15
447,0.06666666666666667,1/15
448,0.06666666666666667,1/15
449,0.06666666666666667,1/15
451,0.1111111111111111,1/9
454,0.1111111111111111,1/9
456,0.1111111111111111,1/9
457,0.07142857142857142,1/14
459,0.07142857142857142,1/14
461,0.1111111111111111,1/9
464,0.06666666666666667,1/15
475,0.06666666666666667,1/15
477,0.06666666666666667,1/15
478,0.06666666666666667,1/15
479,0.06666666666666667,1/15
480,0.06666666666666667,1/15
482,0.025,1/40
903,0.0,0/33
907,0.013333333333333334,1/75
909,0.013333333333333334,1/75
913,0.013333333333333334,1/75
915,0.0625,1/16
916,0.058823529411764705,1/17
917,0.058823529411764705,1/17
918,0.0625,1/16
919,0.043478260869565216,1/23
920,0.0625,1/16
921,0.0625,1/16
922,0.043478260869565216,1/23
923,0.018867924528301886,1/53
924,0.02702702702702703,1/37
926,0.014925373134328358,1/67
927,0.02702702702702703,1/37
928,0.0,0/26
930,0.0,0/26
933,0.0,0/26
934,0.0,0/26
935,0.0,0/26
936,0.0,0/26
937,0.0,0/26
938,0.0,0/26
939,0.0,0/3
940,0.0,0/6
941,0.0,0/26
944,0.0,0/6
973,0.014492753623188406,1/69
975,0.0,0/34
977,0.0,0/34
978,0.0,0/34
981,0.0,0/34
983,0.0,0/34
985,0.08333333333333333,1/12
999,0.041666666666666664,1/24
1047,0.03125,1/32
1086,0.023809523809523808,1/42
1088,0.16666666666666666,1/6
1112,0.06666666666666667,1/15
1113,0.06666666666666667,1/15
1114,0.06666666666666667,1/15
1118,0.06666666666666667,1/15
1120,0.06666666666666667,1/15
1123,0.06666666666666667,1/15
1124,0.023809523809523808,1/42
1231,0.02,1/50
1238,0.011235955056179775,1/89
1245,0.017241379310344827,1/58
1248,0.015384615384615385,1/65
1251,0.045454545454545456,1/22
1253,0.012658227848101266,1/79
1255,0.015384615384615385,1/65
1256,0.012658227848101266,1/79
