project_id,adequacy_based_tests_statement,adequacy_based_tests_checked
Lang-1,0.017857142857142856,0.01818181818181818
Lang-3,0.019230769230769232,0.017543859649122806
Lang-4,0.3333333333333333,1.0
Lang-5,0.09090909090909091,0.16666666666666666
Lang-6,0.2,0.25
Lang-7,0.014925373134328358,0.014925373134328358
Lang-8,0.1,0.2222222222222222
Lang-9,0.1111111111111111,0.18181818181818182
Lang-10,0.125,0.2222222222222222
Lang-11,0.16666666666666666,0.25
Lang-12,0.4,0.5
Lang-13,0.09090909090909091,0.07692307692307693
Lang-14,0.006711409395973154,0.00684931506849315
Lang-15,0.25,0.25
Lang-16,0.015625,0.015873015873015872
Lang-17,0.3333333333333333,0.25
Lang-18,0.1,0.08333333333333333
Lang-19,0.4,0
Lang-20,0.0136986301369863,0.013888888888888888
Lang-21,0.022222222222222223,0.022727272727272728
Lang-22,0,0
Lang-23,0.16666666666666666,0.3333333333333333
Lang-24,0.023809523809523808,0.022727272727272728
Lang-25,0.5,0.5
Lang-26,0.1111111111111111,0.1111111111111111
Lang-27,0.023255813953488372,0.02564102564102564
Lang-28,0.25,1.0
Lang-29,0.07692307692307693,0.09090909090909091
Lang-30,0.0684931506849315,0.07194244604316546
Lang-31,0.014598540145985401,0.015037593984962405
Lang-32,0.03333333333333333,0.029411764705882353
Lang-33,0.02702702702702703,0.03333333333333333
Lang-34,0.6585365853658537,0
Lang-35,0.007352941176470588,0.007633587786259542
Lang-36,0.04878048780487805,0.05128205128205128
Lang-37,0.007246376811594203,0.007407407407407408
Lang-38,0.09090909090909091,0.1111111111111111
Lang-39,0.0078125,0.0078125
Lang-40,0.008064516129032258,0.007874015748031496
Lang-41,0.06060606060606061,0.06451612903225806
Lang-42,0.09090909090909091,0.25
Lang-43,0.3333333333333333,0.5
Lang-44,0.08333333333333333,0.07692307692307693
Lang-45,0.1,0.08333333333333333
Lang-46,0.07142857142857142,0.08333333333333333
Lang-47,0.020618556701030927,0.029850746268656716
Lang-48,0.037037037037037035,0.03125
Lang-49,0.041666666666666664,0.045454545454545456
Lang-50,0.25,0.2
Lang-51,0.02631578947368421,0.02564102564102564
Lang-52,0.1111111111111111,0.1
Lang-53,0.05263157894736842,0.05263157894736842
Lang-54,0.1111111111111111,0.2
Lang-55,0.2,0.2
Lang-56,0.16666666666666666,0.125
Lang-57,0,0
Lang-58,0.0196078431372549,0.02127659574468085
Lang-59,0.012987012987012988,0.016666666666666666
Lang-60,0.013157894736842105,0.01694915254237288
Lang-61,0.02564102564102564,0.03508771929824561
Lang-62,0.09090909090909091,0.3333333333333333
Lang-63,0.16666666666666666,0.2
Lang-64,0.16666666666666666,0.14285714285714285
Lang-65,0.05263157894736842,0.05555555555555555
Math-20,0.1,0.2
Math-21,1.0,1.0
Math-22,0.13333333333333333,1.0
Math-23,0.2,0.25
Math-24,0.25,0.2
Math-25,0.5,0.5
Math-26,0.038461538461538464,0.041666666666666664
Math-27,0.04,0.043478260869565216
Math-28,0.2,0.25
Math-29,0.125,0
Math-30,0.5,0.5
Math-31,1.0,1.0
Math-32,0.25,0.16666666666666666
Math-33,0.125,0.14285714285714285
Math-34,0.09090909090909091,0.1
Math-35,1.0,1.0
Math-36,0.07142857142857142,0.09090909090909091
Math-37,0.07017543859649122,0.06557377049180328
Math-38,0.1,0.5
Math-39,0.2,0.3333333333333333
Math-40,0.07692307692307693,0.16666666666666666
Math-41,0.09090909090909091,0.125
Math-42,0.1111111111111111,0.16666666666666666
Math-43,0.5,0.5454545454545454
Math-44,0.08333333333333333,1.0
Math-45,0.2,0.25
Math-46,0.0392156862745098,0.03636363636363636
Math-47,0.041666666666666664,0.04081632653061224
Math-48,0.1,1.0
Math-49,0.125,0.16666666666666666
Math-50,0.1,1.0
Math-51,0.08333333333333333,1.0
Math-52,0.125,0.08333333333333333
Math-53,0.0196078431372549,0.022222222222222223
Math-54,0.04,1.0
Math-55,0.05,0.07142857142857142
Math-56,0.2,0.3333333333333333
Math-57,0.5,0.3333333333333333
Math-58,1.0,1.0
Math-59,0.018867924528301886,1.0
Math-60,0.14285714285714285,0.2
Math-61,0.125,0.3333333333333333
Math-62,1.0,1.0
Math-63,0.017543859649122806,0.017543859649122806
Math-64,0.25,0.5
Math-65,0.125,0.25
Math-66,0,1.0
Math-67,1.0,0.5
Math-68,0.2222222222222222,0.2857142857142857
Math-69,0.3333333333333333,0.2857142857142857
Math-70,0.3333333333333333,0.25
Math-71,0.18181818181818182,0
Math-72,0.08333333333333333,0.1111111111111111
Math-73,0.1,0.125
Math-74,0.2,1.0
Math-75,0.125,0.14285714285714285
Math-76,0.2857142857142857,0.3333333333333333
Math-77,0.09523809523809523,0.11764705882352941
Math-78,0.25,1.0
Math-79,0.019230769230769232,0.019230769230769232
Math-80,0.1,0.09090909090909091
Math-81,0.1,0.07692307692307693
Math-82,0.25,0.25
Math-83,0.25,0.2
Math-84,0.6666666666666666,0.6666666666666666
Math-85,0.2,0.14285714285714285
Math-86,0.3333333333333333,0.4
Math-87,0.16666666666666666,0.25
Math-88,0.25,0.2
Math-89,0.16666666666666666,0.14285714285714285
Math-90,0.2,0.14285714285714285
Math-91,0.047619047619047616,0.0625
Math-92,0.02857142857142857,0.03333333333333333
Math-93,0.02857142857142857,0.03225806451612903
Math-94,0.03125,0.029411764705882353
Math-95,0.2,0.3333333333333333
Math-96,0.02631578947368421,0.027777777777777776
Math-97,0.14285714285714285,0.2
Math-98,0.03508771929824561,0.03333333333333333
Math-99,0.045454545454545456,0.04878048780487805
Math-100,0.16666666666666666,1.0
Math-101,0.15384615384615385,0
Math-102,0,0.8571428571428571
Math-103,0.2,0.25
Math-104,0.14285714285714285,0.25
Math-105,0.16666666666666666,0.16666666666666666
Math-106,0.14285714285714285,0.16666666666666666
