project,project_id,ratio_statement_coverage,ratio_checked_coverage,len_of_bug_detecting_tests,len_of_statement_covering_tests,len_of_checked_covering_tests,score_statement_coverage,score_checked_coverage
Cli,1,0.0136986301369863,0.015873015873015872,1,73,63,66.66666666666666,58.333333333333336
Cli,2,0.07142857142857142,0.5,1,14,2,100.0,33.33333333333333
Cli,3,1.0,1.0,1,1,1,100.0,100.0
Cli,4,0.027777777777777776,0.6666666666666666,2,72,3,100.0,40.0
Cli,5,0.024390243902439025,0.02564102564102564,2,82,78,100.0,100.0
Cli,7,1.0,1.0,1,1,1,100.0,33.33333333333333
Cli,8,0.25,0,1,4,0,100.0,0
Cli,9,0.02631578947368421,0.4,2,76,5,100.0,60.0
Cli,10,0.011764705882352941,0.012345679012345678,1,85,81,100.0,66.66666666666666
Cli,11,0.125,0,1,8,0,50.0,0
Cli,12,0.375,0.375,3,8,8,100.0,100.0
Cli,13,0.006535947712418301,0.010869565217391304,1,153,92,100.0,100.0
Cli,14,0.0196078431372549,0.125,1,51,8,100.0,50.0
Cli,15,0.019801980198019802,0.034482758620689655,2,101,58,87.5,87.5
Cli,16,0.01098901098901099,0.06086956521739131,7,637,115,100.0,100.0
Cli,17,0.3333333333333333,0.3333333333333333,1,3,3,100.0,66.66666666666666
Cli,18,0.0136986301369863,0.014705882352941176,1,73,68,83.33333333333334,50.0
Cli,19,0.016129032258064516,0.018518518518518517,1,62,54,83.33333333333334,66.66666666666666
Cli,20,0.012345679012345678,0.012987012987012988,1,81,77,85.71428571428571,85.71428571428571
Cli,21,0.0036496350364963502,0.011904761904761904,1,274,84,100.0,100.0
Cli,22,0.022727272727272728,0.03508771929824561,2,88,57,70.58823529411765,52.94117647058824
Cli,23,0.25,0,2,8,0,100.0,0
Cli,24,0.1,0,1,10,0,100.0,0
Cli,25,0.1,0,1,10,0,100.0,0
Cli,26,0.013157894736842105,0.01639344262295082,1,76,61,100.0,62.5
Cli,27,0.1875,1.5,3,16,2,100.0,100.0
Cli,28,0.25,0.25,1,4,4,100.0,50.0
Cli,29,0.009345794392523364,0.16666666666666666,1,107,6,100.0,100.0
Cli,30,0.3,9.0,9,30,1,83.33333333333334,66.66666666666666
Cli,31,0.0056179775280898875,0.16666666666666666,1,178,6,100.0,40.0
Cli,32,1.0,2.0,2,2,1,100.0,100.0
Cli,33,0.047619047619047616,0.3333333333333333,1,21,3,100.0,16.666666666666664
Cli,34,0.003898635477582846,0.03508771929824561,2,513,57,100.0,33.33333333333333
Cli,35,0.007936507936507936,0.03225806451612903,1,126,31,100.0,100.0
Cli,36,0.003115264797507788,0.03225806451612903,1,321,31,100.0,100.0
Cli,37,0.058823529411764705,0.3333333333333333,1,17,3,100.0,100.0
Cli,38,0.14285714285714285,0.5,1,7,2,100.0,100.0
Cli,39,0.5,0.5,2,4,4,66.66666666666666,66.66666666666666
