project,project_id,ratio_statement_coverage,ratio_checked_coverage,len_of_bug_detecting_tests,len_of_statement_covering_tests,len_of_checked_covering_tests,score_statement_coverage,score_checked_coverage
Codec,1,0.07575757575757576,0.1388888888888889,5,66,36,100.0,100.0
Codec,2,0.07407407407407407,0,2,27,0,100.0,0
Codec,3,0.25,0.5,1,4,2,100.0,100.0
Codec,4,0.05405405405405406,2.0,2,37,1,100.0,50.0
Codec,5,0.044444444444444446,0.1,2,45,20,100.0,100.0
Codec,6,0.14285714285714285,0.3333333333333333,1,7,3,87.5,75.0
Codec,7,0.5,1.0,2,4,2,100.0,100.0
Codec,8,0.0625,0.2,1,16,5,100.0,100.0
Codec,9,0.029411764705882353,0.2,1,34,5,75.0,25.0
Codec,10,0.09090909090909091,0,1,11,0,100.0,0
Codec,11,0.2631578947368421,0.2777777777777778,5,19,18,91.30434782608695,78.26086956521739
Codec,12,0.8571428571428571,0.8571428571428571,12,14,14,90.0,90.0
Codec,13,0.125,0.3333333333333333,2,16,6,100.0,100.0
Codec,14,0.016666666666666666,0.25,1,60,4,100.0,77.77777777777779
Codec,15,0.04,0.05,1,25,20,100.0,75.0
Codec,16,0,0,1,0,0,0,0
Codec,17,0.5,0.5,1,2,2,100.0,100.0
Codec,18,0.2,0.6666666666666666,2,10,3,66.66666666666666,66.66666666666666
