project,project_id,ratio_statement_coverage,ratio_checked_coverage,len_of_bug_detecting_tests,len_of_statement_covering_tests,len_of_checked_covering_tests,score_statement_coverage,score_checked_coverage
Compress,1,0.5,0,1,2,0,100.0,0
Compress,2,0.3333333333333333,1.0,1,3,1,89.65517241379311,62.06896551724138
Compress,3,0.125,0.5,1,8,2,77.77777777777779,22.22222222222222
Compress,4,0.136986301369863,2.5,10,73,4,100.0,50.0
Compress,5,0.05555555555555555,1.0,1,18,1,62.5,50.0
Compress,6,0.018518518518518517,0.25,1,54,4,75.0,58.333333333333336
Compress,7,0.09090909090909091,0.16666666666666666,1,11,6,100.0,66.66666666666666
Compress,8,0.07692307692307693,0.16666666666666666,1,13,6,93.33333333333333,73.33333333333333
Compress,9,0.09090909090909091,0,1,11,0,60.0,0
Compress,10,0.041666666666666664,0.2,1,24,5,100.0,71.42857142857143
Compress,11,0.2,1.0,1,5,1,50.0,25.0
Compress,12,0.05555555555555555,0.07692307692307693,1,18,13,75.0,75.0
Compress,13,0.027777777777777776,0.11764705882352941,2,72,17,100.0,100.0
Compress,14,0.043478260869565216,0.09090909090909091,1,23,11,83.33333333333334,66.66666666666666
Compress,15,0.3333333333333333,0.5,1,3,2,100.0,100.0
Compress,16,0.5,0,1,2,0,75.0,0
Compress,17,0.03225806451612903,0.07692307692307693,1,31,13,100.0,50.0
Compress,18,0.1,0.1111111111111111,1,10,9,100.0,100.0
Compress,19,0.5,0,1,2,0,50.0,0
Compress,20,0.05263157894736842,0.1111111111111111,1,19,9,32.35294117647059,14.705882352941178
Compress,21,0.8,0,8,10,0,100.0,0
Compress,22,0.1,0.16666666666666666,1,10,6,60.71428571428571,50.0
Compress,23,0,0,1,0,0,0,0
Compress,24,0.023255813953488372,0.07142857142857142,1,43,14,100.0,77.77777777777779
Compress,25,0.021739130434782608,1.0,1,46,1,100.0,33.33333333333333
Compress,26,0.05714285714285714,0,2,35,0,100.0,0
Compress,27,0.022727272727272728,0.06666666666666667,1,44,15,100.0,100.0
Compress,28,0.05263157894736842,0.1,1,19,10,85.71428571428571,71.42857142857143
Compress,29,0.01098901098901099,0.031914893617021274,3,273,94,100.0,66.66666666666666
Compress,30,0.14285714285714285,0.3333333333333333,1,7,3,75.0,25.0
Compress,31,0.03773584905660377,0.11764705882352941,2,53,17,100.0,80.0
Compress,32,0.1111111111111111,0.3333333333333333,1,9,3,54.54545454545454,54.54545454545454
Compress,33,0.25,0.5,1,4,2,66.66666666666666,66.66666666666666
Compress,34,0.00909090909090909,0,1,110,0,100.0,0
Compress,35,0.018867924528301886,0.5,1,53,2,100.0,80.0
Compress,36,0.034482758620689655,0.3333333333333333,1,29,3,100.0,100.0
Compress,37,0.047619047619047616,0.07142857142857142,1,21,14,100.0,83.33333333333334
Compress,38,0.017241379310344827,0.16666666666666666,1,58,6,66.66666666666666,33.33333333333333
Compress,39,0.3333333333333333,1.0,1,3,1,100.0,100.0
Compress,40,0.06451612903225806,0.1111111111111111,2,31,18,88.88888888888889,72.22222222222221
Compress,41,0.04081632653061224,2.0,2,49,1,100.0,50.0
Compress,42,0.5,0,1,2,0,100.0,0
Compress,43,0.019230769230769232,0,1,52,0,42.857142857142854,0
Compress,44,0.375,1.5,3,8,2,100.0,66.66666666666666
Compress,45,0.25,0,1,4,0,75.0,0
Compress,46,0.25,0.3333333333333333,1,4,3,100.0,100.0
Compress,47,0.022727272727272728,0,1,44,0,62.5,0
