project,project_id,ratio_statement_coverage,ratio_checked_coverage,len_of_bug_detecting_tests,len_of_statement_covering_tests,len_of_checked_covering_tests,score_statement_coverage,score_checked_coverage
Csv,1,0.030303030303030304,0.03125,1,33,32,100.0,50.0
Csv,2,0.14285714285714285,0.14285714285714285,1,7,7,100.0,75.0
Csv,3,0.42857142857142855,3.0,3,7,1,75.0,25.0
Csv,4,0.5,0.5,1,2,2,100.0,100.0
Csv,5,0.038461538461538464,0,1,26,0,100.0,0
Csv,6,0.25,0,1,4,0,100.0,0
Csv,7,0.09090909090909091,0.1111111111111111,1,11,9,100.0,100.0
Csv,8,0.006289308176100629,0.058823529411764705,1,159,17,80.0,40.0
Csv,9,0.2,1.0,1,5,1,100.0,100.0
Csv,10,0.025,0,1,40,0,100.0,0
Csv,11,0.06666666666666667,0.09090909090909091,1,15,11,100.0,100.0
Csv,12,0.005952380952380952,0,1,168,0,100.0,0
Csv,13,0.008130081300813009,0,2,246,0,100.0,0
Csv,14,0.11320754716981132,0,6,53,0,100.0,0
