project,project_id,ratio_statement_coverage,ratio_checked_coverage,len_of_bug_detecting_tests,len_of_statement_covering_tests,len_of_checked_covering_tests,score_statement_coverage,score_checked_coverage
Gson,1,0.034482758620689655,0.5,1,29,2,60.0,30.0
Gson,2,0,0,1,0,0,0,0
Gson,3,0.0136986301369863,0.047619047619047616,2,146,42,100.0,100.0
Gson,4,0.003257328990228013,0.006355932203389831,3,921,472,100.0,81.81818181818183
Gson,5,1.0,0,1,1,0,100.0,0
Gson,6,0.13333333333333333,0.3333333333333333,2,15,6,75.0,75.0
Gson,7,0.025210084033613446,0.06521739130434782,3,119,46,46.15384615384615,38.46153846153847
Gson,8,0.01904761904761905,0.08333333333333333,2,105,24,20.0,20.0
Gson,9,0.022727272727272728,0.3333333333333333,1,44,3,100.0,33.33333333333333
Gson,10,0,0,1,0,0,0,0
Gson,11,0,0,1,0,0,0,0
Gson,12,0.18181818181818182,0.3333333333333333,2,11,6,83.33333333333334,16.666666666666664
Gson,13,0.005,0.006172839506172839,1,200,162,100.0,100.0
Gson,14,1.1666666666666667,0,7,6,0,100.0,0
Gson,15,0.16666666666666666,1.0,1,6,1,75.0,50.0
Gson,16,0.4,0,2,5,0,100.0,0
Gson,17,0.2,0.3333333333333333,2,10,6,75.0,50.0
Gson,18,0.03571428571428571,0,1,28,0,100.0,0
