project,project_id,ratio_statement_coverage,ratio_checked_coverage,len_of_bug_detecting_tests,len_of_statement_covering_tests,len_of_checked_covering_tests,score_statement_coverage,score_checked_coverage
JacksonCore,1,0.3333333333333333,0.5,1,3,2,75.0,25.0
JacksonCore,2,0.013333333333333334,0.0273972602739726,2,150,73,100.0,66.66666666666666
JacksonCore,3,0.010526315789473684,0.02127659574468085,1,95,47,100.0,83.33333333333334
JacksonCore,4,0.5,0,1,2,0,100.0,0
JacksonCore,5,0.25,0.3333333333333333,1,4,3,80.0,80.0
JacksonCore,6,0.2,0.25,1,5,4,60.0,60.0
JacksonCore,7,0.0625,0.2,2,32,10,33.33333333333333,66.66666666666666
JacksonCore,8,0.018867924528301886,0.05555555555555555,1,53,18,66.66666666666666,66.66666666666666
JacksonCore,9,0.5,0,2,4,0,42.857142857142854,0
JacksonCore,10,0.0851063829787234,0.36363636363636365,4,47,11,75.0,50.0
JacksonCore,11,0.017241379310344827,0.1111111111111111,1,58,9,100.0,66.66666666666666
JacksonCore,12,0.005917159763313609,0.023255813953488372,1,169,43,100.0,100.0
JacksonCore,13,0.2,0,1,5,0,100.0,0
JacksonCore,14,0.00392156862745098,1.0,1,255,1,80.0,60.0
JacksonCore,15,0.07692307692307693,0.1111111111111111,1,13,9,100.0,100.0
JacksonCore,16,0.5,0.5,1,2,2,90.9090909090909,72.72727272727273
JacksonCore,17,0.07142857142857142,0.09090909090909091,1,14,11,33.33333333333333,17.647058823529413
JacksonCore,18,0.058823529411764705,0.16666666666666666,1,17,6,100.0,100.0
JacksonCore,19,0.023809523809523808,0.05263157894736842,1,42,19,100.0,40.0
JacksonCore,20,1.0,1.0,2,2,2,100.0,100.0
JacksonCore,21,0.2,0.2727272727272727,3,15,11,100.0,83.33333333333334
JacksonCore,22,0.631578947368421,0.8,12,19,15,58.82352941176471,58.82352941176471
JacksonCore,23,1.0,1.0,1,1,1,100.0,100.0
JacksonCore,24,0.47058823529411764,0.6666666666666666,8,17,12,50.0,50.0
JacksonCore,25,1.0,1.0,1,1,1,60.0,60.0
JacksonCore,26,0.013888888888888888,0.09090909090909091,1,72,11,100.0,100.0
