project,project_id,ratio_statement_coverage,ratio_checked_coverage,len_of_bug_detecting_tests,len_of_statement_covering_tests,len_of_checked_covering_tests,score_statement_coverage,score_checked_coverage
JacksonDatabind,1,1.0,0,1,1,0,50.0,0
JacksonDatabind,2,0.125,0.125,1,8,8,90.0,87.5
JacksonDatabind,3,0.25,0.25,1,4,4,40.0,20.0
JacksonDatabind,4,0.16666666666666666,0.16666666666666666,1,6,6,43.75,31.25
JacksonDatabind,5,0.1,0.1,1,10,10,100.0,66.66666666666666
JacksonDatabind,6,0.25,0.6666666666666666,2,8,3,63.63636363636363,27.27272727272727
JacksonDatabind,7,0.25,0.3333333333333333,1,4,3,100.0,66.66666666666666
JacksonDatabind,8,0.0024509803921568627,0.008547008547008548,1,408,117,81.81818181818183,90.0
JacksonDatabind,9,0.023809523809523808,0.02702702702702703,1,42,37,83.33333333333334,80.0
JacksonDatabind,10,0.05,0.058823529411764705,1,20,17,100.0,100.0
JacksonDatabind,12,0.004424778761061947,0.0625,1,226,16,100.0,100.0
JacksonDatabind,13,0.022727272727272728,0.07142857142857142,1,44,14,100.0,50.0
JacksonDatabind,14,0.3333333333333333,0.5,1,3,2,83.33333333333334,33.33333333333333
JacksonDatabind,15,0.03571428571428571,0.047619047619047616,1,28,21,100.0,100.0
JacksonDatabind,16,0.001422475106685633,0.001607717041800643,1,703,622,100.0,100.0
JacksonDatabind,17,0,0,1,0,0,0,0
JacksonDatabind,18,0.2,0.2,3,15,15,66.66666666666666,45.83333333333333
JacksonDatabind,19,0.011811023622047244,0.012552301255230125,3,254,239,100.0,100.0
JacksonDatabind,20,0,0,1,0,0,0,0
JacksonDatabind,21,0,0,1,0,0,0,0
JacksonDatabind,52,0.0017211703958691911,0,1,581,0,100.0,0
JacksonDatabind,53,0.0004492362982929021,0.0008176614881439084,1,2226,1223,100.0,69.56521739130434
JacksonDatabind,54,0.0020408163265306124,0,1,490,0,60.0,0
JacksonDatabind,55,0.058823529411764705,0.125,1,17,8,100.0,100.0
JacksonDatabind,56,0,0,1,0,0,0,0
JacksonDatabind,57,1.0,0,1,1,0,66.66666666666666,0
JacksonDatabind,61,0.004784688995215311,0,1,209,0,100.0,0
JacksonDatabind,62,0.5,0.5,1,2,2,50.0,50.0
JacksonDatabind,63,0,0,3,0,0,0,0
JacksonDatabind,64,0.1,0,1,10,0,80.0,0
