project,project_id,ratio_statement_coverage,ratio_checked_coverage,len_of_bug_detecting_tests,len_of_statement_covering_tests,len_of_checked_covering_tests,score_statement_coverage,score_checked_coverage
Jsoup,1,0.008,0,1,125,0,100.0,0
Jsoup,2,0.008064516129032258,0.1,1,124,10,100.0,100.0
Jsoup,3,0.01048951048951049,0.014218009478672985,3,286,211,95.1219512195122,60.0
Jsoup,4,0.012195121951219513,0,2,164,0,92.3076923076923,0
Jsoup,5,0.009523809523809525,0.013157894736842105,1,105,76,80.0,60.0
Jsoup,6,0.11764705882352941,0,2,17,0,100.0,0
Jsoup,7,0.005555555555555556,0.5,1,180,2,100.0,12.5
Jsoup,8,0.014084507042253521,0.125,1,71,8,100.0,33.33333333333333
Jsoup,9,0.0053475935828877,0,1,187,0,100.0,0
Jsoup,10,0.08333333333333333,1.0,1,12,1,80.0,20.0
Jsoup,11,0.036036036036036036,0.039603960396039604,4,111,101,70.0,50.0
Jsoup,12,0.034482758620689655,0.034482758620689655,1,29,29,100.0,71.42857142857143
Jsoup,13,0.08695652173913043,0.16,4,46,25,100.0,50.0
Jsoup,14,0.08333333333333333,0.1111111111111111,2,24,18,100.0,50.0
Jsoup,15,0,0,1,0,0,0,0
Jsoup,16,0.13333333333333333,0.2222222222222222,2,15,9,100.0,10.0
Jsoup,17,0.00425531914893617,0,1,235,0,100.0,0
Jsoup,18,0.012448132780082987,0.01485148514851485,3,241,202,87.5,62.5
Jsoup,19,0.1,0,1,10,0,100.0,0
Jsoup,20,0.1,1.0,1,10,1,100.0,100.0
Jsoup,21,0.013157894736842105,0.015384615384615385,2,152,130,92.3076923076923,84.61538461538461
Jsoup,22,0.006896551724137931,0.00946372239747634,3,435,317,100.0,83.33333333333334
Jsoup,23,0.013888888888888888,0.03571428571428571,1,72,28,100.0,75.0
Jsoup,24,0,0,1,0,0,0,0
Jsoup,25,0.0035211267605633804,0,1,284,0,100.0,0
Jsoup,26,0.05,1.0,1,20,1,100.0,25.0
Jsoup,27,0.4,0.4,2,5,5,100.0,100.0
Jsoup,28,0.018867924528301886,0.1276595744680851,6,318,47,100.0,100.0
Jsoup,29,0.125,0.125,1,8,8,100.0,100.0
Jsoup,30,0,0,1,0,0,0,0
Jsoup,31,0.5,1.0,1,2,1,100.0,100.0
Jsoup,32,0.16666666666666666,0.16666666666666666,1,6,6,100.0,100.0
Jsoup,33,0.003215434083601286,0.005076142131979695,1,311,197,100.0,83.33333333333334
Jsoup,34,0.18181818181818182,0.2222222222222222,2,11,9,100.0,100.0
Jsoup,35,0,0,1,0,0,0,0
Jsoup,36,0.3157894736842105,1.2,6,19,5,55.55555555555556,22.22222222222222
Jsoup,37,0.007518796992481203,0.007633587786259542,1,133,131,100.0,33.33333333333333
Jsoup,38,0,0,1,0,0,0,0
Jsoup,39,0.06666666666666667,0.07142857142857142,1,15,14,100.0,100.0
Jsoup,40,0.1,0.18181818181818182,2,20,11,100.0,20.0
Jsoup,41,0.1,0,1,10,0,100.0,0
Jsoup,42,0.4,0.4,2,5,5,100.0,90.0
Jsoup,43,0.07142857142857142,0.4,2,28,5,80.0,80.0
Jsoup,44,0.0035335689045936395,0.004081632653061225,1,283,245,87.5,25.0
Jsoup,45,0.012987012987012988,0,1,77,0,71.42857142857143,0
Jsoup,46,0.1111111111111111,0,1,9,0,60.0,0
Jsoup,47,0.1,0,1,10,0,75.0,0
Jsoup,48,0,0,1,0,0,0,0
Jsoup,49,0.03225806451612903,0.125,1,31,8,100.0,80.0
Jsoup,50,0.047619047619047616,0.05555555555555555,1,21,18,84.61538461538461,38.46153846153847
Jsoup,51,0.0027397260273972603,0.005025125628140704,1,365,199,100.0,100.0
Jsoup,52,0.3333333333333333,0.7,7,21,10,100.0,100.0
Jsoup,53,0.013513513513513514,0.029411764705882353,1,74,34,100.0,88.88888888888889
Jsoup,54,0,0,1,0,0,0,0
Jsoup,55,0,0,1,0,0,0,0
Jsoup,56,0.02631578947368421,0,1,38,0,100.0,0
Jsoup,57,0.5,0,1,2,0,100.0,0
Jsoup,58,0.4,1.0,2,5,2,100.0,100.0
Jsoup,59,0,0,2,0,0,0,0
Jsoup,60,0.006134969325153374,0.012048192771084338,2,326,166,100.0,60.0
Jsoup,61,0.25,0.18181818181818182,2,8,11,100.0,100.0
Jsoup,62,0,0,1,0,0,0,0
Jsoup,63,0.00558659217877095,0,3,537,0,100.0,0
Jsoup,64,0.05,0,2,40,0,100.0,0
Jsoup,65,0.03571428571428571,0,1,28,0,100.0,0
Jsoup,66,0.0021929824561403508,0.25,1,456,4,100.0,33.33333333333333
Jsoup,67,0.0025974025974025974,0,1,385,0,100.0,0
Jsoup,68,0.002551020408163265,0,1,392,0,100.0,0
Jsoup,69,0.04,0,1,25,0,100.0,0
Jsoup,70,0.0033444816053511705,0,1,299,0,100.0,0
Jsoup,71,0.5,0,2,4,0,60.0,0
Jsoup,72,0.0038461538461538464,0.08695652173913043,2,520,23,100.0,100.0
Jsoup,73,0,0,1,0,0,0,0
Jsoup,74,0.006289308176100629,0,1,159,0,100.0,0
Jsoup,75,0.012345679012345678,0,1,81,0,100.0,0
Jsoup,76,0,0,1,0,0,0,0
Jsoup,77,0.07142857142857142,0,1,14,0,100.0,0
Jsoup,78,0.022222222222222223,0,1,45,0,83.33333333333334,0
Jsoup,79,0.0022026431718061676,0,1,454,0,100.0,0
Jsoup,80,0.2,0,1,5,0,100.0,0
Jsoup,81,0.25,0,1,4,0,83.33333333333334,0
Jsoup,82,0.02127659574468085,0,1,47,0,100.0,0
Jsoup,83,0.004024144869215292,0,2,497,0,83.33333333333334,0
Jsoup,84,0,0,1,0,0,0,0
Jsoup,85,0.017241379310344827,0.14285714285714285,1,58,7,100.0,42.857142857142854
Jsoup,86,0.14285714285714285,0,1,7,0,100.0,0
Jsoup,87,0.0006854009595613434,1.0,1,1459,1,100.0,14.285714285714285
Jsoup,88,0.02564102564102564,0.25,1,39,4,100.0,100.0
Jsoup,89,0.06666666666666667,0.5,1,15,2,100.0,60.0
Jsoup,90,0,0,1,0,0,0,0
Jsoup,91,0.005076142131979695,0.08823529411764706,3,591,34,85.71428571428571,71.42857142857143
Jsoup,92,0.002255639097744361,0.3333333333333333,3,1330,9,100.0,66.66666666666666
Jsoup,93,0.125,0,1,8,0,100.0,0
