project,project_id,ratio_statement_coverage,ratio_checked_coverage,len_of_bug_detecting_tests,len_of_statement_covering_tests,len_of_checked_covering_tests,score_statement_coverage,score_checked_coverage
Lang,1,0.1,0.1111111111111111,1,10,9,100.0,83.33333333333334
Lang,3,0.2,0.2,1,5,5,90.9090909090909,81.81818181818183
Lang,4,0.03225806451612903,0.5,1,31,2,100.0,87.5
Lang,5,0.2,0.25,1,5,4,55.55555555555556,55.55555555555556
Lang,6,0.02702702702702703,0,1,37,0,100.0,0
Lang,7,0.25,0.3333333333333333,1,4,3,90.0,80.0
Lang,8,0,0,2,0,0,0,0
Lang,9,0.018691588785046728,1.0,2,107,2,100.0,20.0
Lang,10,0.019417475728155338,0,2,103,0,85.71428571428571,0
Lang,11,0.5,0.5,1,2,2,66.66666666666666,66.66666666666666
Lang,12,0.5,0.6666666666666666,2,4,3,66.66666666666666,44.44444444444444
Lang,13,0,0,1,0,0,0,0
Lang,14,0.058823529411764705,0.5,1,17,2,100.0,100.0
Lang,15,0.4,0.4,2,5,5,100.0,100.0
Lang,16,0.3333333333333333,0.5,1,3,2,100.0,100.0
Lang,17,0.029411764705882353,0.3333333333333333,1,34,3,100.0,53.84615384615385
Lang,18,0.02127659574468085,0,1,47,0,100.0,0
Lang,19,0.18181818181818182,0,2,11,0,73.33333333333333,0
Lang,20,0.3333333333333333,0.3333333333333333,2,6,6,50.0,25.0
Lang,21,1.0,1.0,1,1,1,100.0,100.0
Lang,23,1.0,1.0,1,1,1,75.0,75.0
Lang,24,1.0,1.0,1,1,1,100.0,100.0
Lang,25,0,0,1,0,0,0,0
Lang,26,0.03225806451612903,0.1,1,31,10,100.0,33.33333333333333
Lang,27,0.3333333333333333,0.5,1,3,2,88.88888888888889,77.77777777777779
Lang,28,0.25,0,1,4,0,83.33333333333334,0
Lang,29,1.0,1.0,1,1,1,100.0,100.0
Lang,30,0.5263157894736842,0.5882352941176471,10,19,17,47.61904761904761,47.61904761904761
Lang,31,0.3333333333333333,0.5,2,6,4,100.0,100.0
Lang,32,0.022222222222222223,0,1,45,0,100.0,0
Lang,33,1.0,1.0,1,1,1,100.0,75.0
Lang,34,0.24324324324324326,0,27,111,0,100.0,0
Lang,35,0.3333333333333333,0.3333333333333333,1,3,3,50.0,50.0
Lang,36,0.6666666666666666,1.0,2,3,2,100.0,100.0
Lang,37,0.25,0.25,1,4,4,100.0,66.66666666666666
Lang,38,0.029411764705882353,0,1,34,0,100.0,0
Lang,39,0.5,0.5,1,2,2,100.0,33.33333333333333
Lang,40,0.5,0.5,1,2,2,100.0,100.0
Lang,41,0.0625,0.2222222222222222,2,32,9,69.23076923076923,23.076923076923077
Lang,42,0.16666666666666666,0,1,6,0,100.0,0
Lang,43,1.0,0,1,1,0,100.0,0
Lang,44,0.3333333333333333,0.5,1,3,2,100.0,100.0
Lang,45,1.0,0,1,1,0,100.0,0
Lang,46,0.2,0.25,1,5,4,68.42105263157895,42.10526315789473
Lang,47,0.2857142857142857,0.5,2,7,4,62.5,25.0
Lang,48,0.021739130434782608,0.02631578947368421,1,46,38,80.0,80.0
Lang,49,1.0,1.0,1,1,1,100.0,100.0
Lang,50,0.6666666666666666,0.6666666666666666,2,3,3,47.368421052631575,47.368421052631575
Lang,51,1.0,1.0,1,1,1,100.0,100.0
Lang,52,0.25,0,1,4,0,60.0,0
Lang,53,0.16666666666666666,0.3333333333333333,1,6,3,100.0,60.0
Lang,54,0.3333333333333333,0.5,1,3,2,75.0,75.0
Lang,55,0.2,0.2,1,5,5,100.0,60.0
Lang,56,1.0,0,1,1,0,100.0,0
Lang,57,1.0,11.0,11,11,1,100.0,100.0
Lang,58,0.3333333333333333,0.5,1,3,2,100.0,66.66666666666666
Lang,59,0.3333333333333333,0.5,1,3,2,100.0,66.66666666666666
Lang,60,0.09090909090909091,0.14285714285714285,1,11,7,66.66666666666666,66.66666666666666
Lang,61,0.2222222222222222,0.5,2,9,4,100.0,100.0
Lang,62,0.2,0,1,5,0,100.0,0
Lang,63,0.08333333333333333,0.1111111111111111,1,12,9,95.45454545454545,40.909090909090914
Lang,64,0.2,0.14285714285714285,1,5,7,75.0,75.0
Lang,65,0.2,0.25,1,5,4,92.3076923076923,66.66666666666666
