project,project_id,ratio_statement_coverage,ratio_checked_coverage,len_of_bug_detecting_tests,len_of_statement_covering_tests,len_of_checked_covering_tests,score_statement_coverage,score_checked_coverage
Math,20,0,0,1,0,0,0,0
Math,21,0.5,0.6666666666666666,2,4,3,100.0,100.0
Math,22,1.0,0,2,2,0,100.0,0
Math,23,0.0625,0.07692307692307693,1,16,13,100.0,81.81818181818183
Math,24,0.06666666666666667,0.08333333333333333,1,15,12,85.71428571428571,42.857142857142854
Math,25,0,0,1,0,0,0,0
Math,26,0.017857142857142856,1.0,1,56,1,100.0,20.0
Math,27,0.5,0.5,1,2,2,100.0,100.0
Math,28,0.1,0.16666666666666666,1,10,6,100.0,77.77777777777779
Math,29,0.75,0,3,4,0,62.5,0
Math,30,0.5,0.5,1,2,2,100.0,100.0
Math,31,0.018518518518518517,0.058823529411764705,2,108,34,85.18518518518519,55.55555555555556
Math,32,0.14285714285714285,0.14285714285714285,1,7,7,60.0,60.0
Math,33,0.05555555555555555,0.05555555555555555,1,18,18,100.0,100.0
Math,34,0.5,0.5,1,2,2,100.0,100.0
Math,35,0.3333333333333333,0.4444444444444444,4,12,9,100.0,66.66666666666666
Math,36,0.05128205128205128,0.13333333333333333,2,39,15,100.0,100.0
Math,37,1.0,1.0,4,4,4,100.0,100.0
Math,38,0.07142857142857142,1.0,1,14,1,100.0,8.333333333333332
Math,39,0.01694915254237288,0.3333333333333333,1,59,3,100.0,100.0
Math,40,0.04,0.5,1,25,2,100.0,100.0
Math,41,0.3333333333333333,1.0,1,3,1,100.0,100.0
Math,42,0.05263157894736842,0.05555555555555555,1,19,18,80.0,60.0
Math,43,0.12,0.3,6,50,20,75.0,25.0
Math,44,0.0072992700729927005,0.5,1,137,2,84.61538461538461,23.076923076923077
Math,45,0.03333333333333333,0,1,30,0,100.0,0
Math,46,0.13333333333333333,0.13333333333333333,2,15,15,71.42857142857143,71.42857142857143
Math,47,0.010752688172043012,0.0196078431372549,2,186,102,84.61538461538461,61.53846153846154
Math,48,0.14285714285714285,1.0,1,7,1,100.0,100.0
Math,49,0.5,1.0,1,2,1,100.0,33.33333333333333
Math,50,0.0625,0,1,16,0,33.33333333333333,0
Math,51,0.0625,1.0,1,16,1,60.0,60.0
Math,52,0.5,0.5,1,2,2,100.0,66.66666666666666
Math,53,0.05,0.05,1,20,20,100.0,66.66666666666666
Math,54,0.05,0,1,20,0,87.5,0
Math,55,0.25,0.25,1,4,4,90.9090909090909,90.9090909090909
Math,56,1.0,1.0,1,1,1,100.0,100.0
Math,57,0.25,0.25,1,4,4,100.0,100.0
Math,58,0.125,0,1,8,0,100.0,0
Math,59,1.0,0,1,1,0,100.0,0
Math,60,0.125,0.5,1,8,2,100.0,100.0
Math,61,0.08333333333333333,0.2,1,12,5,100.0,60.0
Math,62,0.5,0.5,1,2,2,50.0,50.0
Math,63,1.0,1.0,1,1,1,100.0,100.0
Math,64,0.0392156862745098,0.2,2,51,10,100.0,85.71428571428571
Math,65,0.022727272727272728,0.25,1,44,4,100.0,100.0
Math,66,0.4,0.5714285714285714,4,10,7,92.85714285714286,67.85714285714286
Math,67,1.0,1.0,1,1,1,100.0,100.0
Math,68,0.046511627906976744,0.09090909090909091,2,43,22,95.23809523809523,71.42857142857143
Math,69,0.2857142857142857,0,2,7,0,100.0,0
Math,70,1.0,1.0,1,1,1,100.0,100.0
Math,71,1.0,0,2,2,0,100.0,0
Math,72,0.3333333333333333,0.3333333333333333,1,3,3,100.0,100.0
Math,73,0.5,0.5,1,2,2,66.66666666666666,66.66666666666666
Math,74,0.020833333333333332,0,1,48,0,71.42857142857143,0
Math,75,1.0,1.0,1,1,1,100.0,100.0
Math,76,0.15384615384615385,0.16666666666666666,2,13,12,100.0,22.857142857142858
Math,77,1.0,1.0,2,2,2,100.0,100.0
Math,78,0.011363636363636364,0,1,88,0,100.0,0
Math,79,0.25,0.25,1,4,4,100.0,100.0
Math,80,0.058823529411764705,1.0,1,17,1,100.0,100.0
Math,81,0.02857142857142857,0.14285714285714285,1,35,7,100.0,20.0
Math,82,0.07142857142857142,1.0,1,14,1,100.0,14.285714285714285
Math,83,0.0625,0.09090909090909091,1,16,11,100.0,100.0
Math,84,0.5,0.5,2,4,4,100.0,100.0
Math,85,0.058823529411764705,1.0,1,17,1,66.66666666666666,33.33333333333333
Math,86,0.18181818181818182,0.4,2,11,5,100.0,60.0
Math,87,0.06666666666666667,0.1,1,15,10,100.0,100.0
Math,88,0.1111111111111111,0.1111111111111111,1,9,9,100.0,90.0
Math,89,0.5,0.5,1,2,2,66.66666666666666,66.66666666666666
Math,90,0.5,0.5,1,2,2,100.0,50.0
Math,91,1.0,1.0,1,1,1,100.0,100.0
Math,92,0.06666666666666667,0.3333333333333333,1,15,3,100.0,100.0
Math,93,0.3333333333333333,0.5,1,3,2,100.0,100.0
Math,94,0.021739130434782608,0.1,1,46,10,100.0,100.0
Math,95,0.3333333333333333,0,1,3,0,100.0,0
Math,96,0.029411764705882353,0.14285714285714285,1,34,7,50.0,50.0
Math,97,0.03125,0.125,1,32,8,66.66666666666666,55.55555555555556
Math,98,0.3333333333333333,0.3333333333333333,2,6,6,100.0,100.0
Math,99,0.03278688524590164,0.10526315789473684,2,61,19,71.42857142857143,71.42857142857143
Math,100,0.25,0,1,4,0,92.3076923076923,0
Math,101,0.08333333333333333,0,2,24,0,100.0,0
Math,102,1.0,2.0,6,6,3,100.0,100.0
Math,103,0.125,0.5,1,8,2,100.0,66.66666666666666
Math,104,0.01098901098901099,0,1,91,0,100.0,0
Math,105,0.1111111111111111,0.1111111111111111,1,9,9,100.0,100.0
Math,106,0.25,0.3333333333333333,1,4,3,50.0,33.33333333333333
