project,percent_coverage_s,statement_coverage,percent_coverage_c,checked_coverage
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,True,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,True,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,True,5,True
project,5,True,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,True,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,True,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,True,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,True,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,True,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,5,False,5,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,True,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,True,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,True,10,True
project,10,True,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,True,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,True,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,True,10,True
project,10,True,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,10,False,10,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,True,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,True,15,True
project,15,False,15,True
project,15,False,15,True
project,15,True,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,True,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,True,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,True,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,True,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,True,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,True,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,15,False,15,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
project,20,False,20,True
